CGDID,TTGDID,CPTID,easting__N,northing__,Investigat,Investig_1,Reference,PreDrill_D,Depth_of_T,Groundwate,Measured_D,ConeID,Known_Issu,Post_Groun,obs_class
15574,15574,39038,1571530.842,5182915.083,CPT,,STA-POD11-CPT017,0,10.02,0,0,4447,,0,2
27878,30057,27835,1571532.038,5183644.367,CPT,,"12492 - 288 Westminster Street, Christchurch",0,11.77,1,0.8,081034T,,0,2
11665,11665,10419,1571532.927,5181644.494,CPT,,STA-POD20-CPT006(b),9,20.02,0,0,4215 50KN,,0,2
17882,17882,14746,1571532.927,5181644.494,CPT,,STA-POD20-CPT006,0,4.92,0,0,4215 50KN,,0,2
38339,41533,36182,1571533.624,5182936.156,CPT,,11794_412-CPT2,0,16.83,0,0,C10CFIIP.C12137,,0,2
49321,49552,44902,1571534.489,5181891.303,CPT,,STA-POD18-CPT022,0,9.8,0,0,4652,,0,2
49957,50894,45549,1571534.57,5181490.264,CPT,,12202-070_CPT2,0,5,0,0,C10CFIIP.C14007,,0,2
30817,31771,28767,1571535.646,5182133.642,CPT,,11794-108_CPT 1,0,19.3,0,0,C10CFIIP.C10266,,0,2
43886,43153,38800,1571536.3,5181577.7,CPT,,50709#GE,0,7.04,1,0.9,MKJ311,,0,2
32115,32955,29618,1571537,5183101.4,CPT,,CPTu001,0,15.03,0,0,4475,,0,2
30820,31815,28799,1571537.638,5182121.323,CPT,,11794-108_CPT 4,0,0.98,0,0,C10CFIIP.C10266,,0,2
43942,43141,38854,1571537.696,5182394.087,CPT,,11794_479-CPT1,0,20.2,0,0,C10CFIIP.C12163,,0,2
43951,43286,38856,1571538.02,5182413.08,CPT,,11794_479-CPT3,0,20.2,0,0,C10CFIIP.C12163,,0,2
30825,31816,28800,1571538.787,5182212.619,CPT,,11794-109_CPT 1,0,20.11,0,0,S10CFIIP.S12316,,0,2
38338,41532,36181,1571539.411,5182924.963,CPT,,11794_412-CPT1,0,20.3,0,0,C10CFIIP.C12137,,0,2
30827,31818,28802,1571541.184,5182200.08,CPT,,11794-109_CPT 3,0,19.95,0,0,S10CFIIP.S12316,,0,2
32116,32956,29619,1571541.8,5183097.7,CPT,,CPTu002,0,15.01,0,0,4475,,0,2
18550,18550,14826,1571542.577,5182213.274,CPT,,STA-POD16-CPT008,0,18.78,0,0,4045,,0,2
32118,32958,29621,1571542.8,5183107,CPT,,CPTu004,0,15,0,0,4475,,0,2
49955,50471,45548,1571543.566,5181503.519,CPT,,12202-070_CPT3,0,4.22,0,0,C10CFIIP.C14007,,0,2
30826,31817,28801,1571543.629,5182214.528,CPT,,11794-109_CPT 2,0,20.08,0,0,S10CFIIP.S12316,,0,2
49094,50249,45224,1571545.16,5182559.488,CPT,,CPT2,15,15,0,0,MKJ311,,0,2
4604,4604,3462,1571546.045,5182592.678,CPT,,STA-POD16-CPT007,0,12.22,0,0,4221 100KN,,0,2
4468,4468,3323,1571547.064,5181544.773,CPT,,STA-POD20-CPT009,0.2,5.7,0,0,C10CFIIP.C10204,,0,2
9296,9296,8521,1571547.064,5181544.773,CPT,,STA-POD20-CPT009(b),12,20,0,0,C10CFIIP.E09,,0,2
32117,32957,29620,1571547.1,5183103.6,CPT,,CPTu003,0,15,0,0,4475,,0,2
7153,7153,6151,1571547.256,5181480.538,CPT,,STA-POD20-CPT007,0,5.22,0,0,C10CFIIP.C10021,,0,2
4695,4695,3558,1571551.815,5181464.994,CPT,,STA-POD20-CPT008,0,4.72,0,0,4553,,0,2
18549,18549,14825,1571557.524,5182396.898,CPT,,STA-POD16-CPT006,0.36,20.2,0,0,4045,,0,2
16950,16950,16127,1571557.981,5182557.272,CPT,,(13006) 238 Geraldine Street CPT03,1,19.94,0,0,4553,,0,2
27743,30101,27862,1571561.929,5184578.743,CPT,,CPT1 - 435 Hills Road,0,11.79,1,0.76,MK332,,0,2
