FID,CPT,predrill (m),L (m),Depth of Test (m),GWT (m),PGA (g),Lat,Long,CH_EW_RMSE,CH_NS_RMSE,CH_APL_mod (m),Rrup,CH_APL,Elevation (m),Slope_5m (%),River_Dir (deg)
2057,2669,0,356.6104215,19.9,2.43118,0.44,-43.49505,172.706735,-0.250758,0.051799,0.256052165,4.505844327,0.256052165,4.11768,0.59268,271.82499
2650,2699,0.1,486.2170403,19.9,1.77985,0.51,-43.511833,172.715472,0.155636,0.411597,0.440039379,2.606293601,0.440039379,1.28221,0.47762,17.71599
2173,2764,0,500.536583,13.5,1.66199,0.46,-43.497876,172.709247,-0.519724,-0.351001,0.627148099,4.142498365,0.627148099,3.71609,0.37449,276.06246
2298,2887,0,292.7051629,20,2.17834,0.49,-43.508484,172.710249,-0.028544,0.018874,0.034219699,3.103964423,0.034219699,2.17534,0.37498,25.76607
2640,2912,0,217.017361,20,1.72609,0.49,-43.504782,172.715407,0.171057,-0.44562,0.477323456,3.263621886,0.477323456,2.55878,0.74261,199.34832
40,2915,0,326.3210254,20,2.91804,0.43,-43.519484,172.657425,0.284764,-0.347367,0.449170756,4.21442685,0.449170756,5.14618,0.74898,133.63534
2437,2923,0,539.8029849,19.9,2.62663,0.5,-43.511501,172.712089,0.154547,-0.021716,0.156065242,2.760574618,0.156065242,2.1895,0.20513,19.07711
2797,2935,0,278.6093013,19.9,1.81796,0.49,-43.504841,172.717977,0.372908,-0.717816,0.808900603,3.139097596,0.808900603,2.39818,0.24529,201.35063
2714,2937,0,467.8057218,19.9,2.42474,0.48,-43.502665,172.716584,-0.033701,-0.486386,0.487552149,3.389734849,0.487552149,3.48606,0.38602,193.15465
2159,3662,0,544.4601617,19.6,2.18819,0.45,-43.495157,172.709092,-0.376855,-0.396345,0.54690863,4.387245935,0.54690863,4.34262,0.02413,242.78511
2291,3665,0,306.5814579,19.9,1.63701,0.47,-43.501224,172.710213,-0.621879,-0.23726,0.665601832,3.793232414,0.665601832,2.92763,0.67442,224.82859
2497,3670,0,288.5767704,20,1.75207,0.48,-43.503328,172.713174,-0.041884,-0.391517,0.393750976,3.492637197,0.393750976,2.71529,1.02622,214.18393
2369,3672,0,331.0151375,20,2.13689,0.47,-43.501705,172.711328,-0.336497,-0.124026,0.3586261,3.710850035,0.3586261,3.42167,0.32159,216.43789
2386,3675,0,372.8810142,18.2,1.98638,0.47,-43.501338,172.711536,-0.353584,-0.199518,0.405991475,3.738385325,0.405991475,3.23401,0.29234,224.90156
2512,3676,0,586.7246608,20,1.53978,0.47,-43.499997,172.713467,0.038052,-0.516513,0.517912767,3.762554213,0.517912767,3.07766,0.09529,218.36929
2322,3681,0,311.8195346,20.1,1.73003,0.47,-43.501464,172.710629,-0.597202,-0.11979,0.609097589,3.756422759,0.609097589,2.87813,0.38966,220.886
2407,3683,0,381.227568,20,1.98348,0.47,-43.501423,172.711847,-0.212577,-0.157715,0.264694167,3.716120053,0.264694167,3.26488,0.32729,217.81986
2240,3722,0.3,563.9603425,20,2.03427,0.45,-43.496194,172.709874,-0.372233,-0.504815,0.627212556,4.259963361,0.627212556,4.20928,0.45165,256.24804
2254,3728,0,362.2240527,20.1,1.58561,0.47,-43.500427,172.709945,-0.551357,-0.299716,0.627554159,3.880036971,0.627554159,3.17029,0.1989,212.40824
2317,3731,1.8,232.4264059,19.9,2.0426,0.47,-43.502357,172.710489,-0.429762,-0.209331,0.478032263,3.673622577,0.478032263,2.64393,0.79698,216.61558
2302,3755,0,278.5307618,19.9,1.86265,0.47,-43.501679,172.710341,2.74176,-0.133899,2.745027657,3.744577751,2.745022663,3.14021,0.32939,220.84108
2308,3757,0,395.9544974,17.4,1.83263,0.47,-43.500276,172.710381,-0.53931,-0.282536,0.608836487,3.8811999,0.608836487,3.78606,1.23819,215.39289
2770,3759,0,550.1683277,19.9,2.46033,0.48,-43.502107,172.717568,0.148912,-0.199788,0.249178708,3.396610559,0.249178708,3.44491,0.92868,199.74327
2732,3762,0,372.8250734,19,2.1811,0.49,-43.503639,172.716935,0.035214,-0.538244,0.539394688,3.289387652,0.539394688,2.45442,0.68942,200.79938
193,3764,0,186.2264368,21.5,2.71394,0.44,-43.518504,172.661497,0.059778,-0.178449,0.188195257,4.133100619,0.188195257,3.68824,1.14843,149.38498
2212,3822,0,104.0857016,15,1.92373,0.48,-43.506242,172.70964,-0.200704,0.078672,0.215572213,3.333369215,0.215572213,2.18255,0.69365,36.35976
2315,3823,0,125.1454133,20,2.00288,0.49,-43.506844,172.710441,-0.105453,0.116197,0.156914238,3.247481281,0.156914238,2.2078,0.10542,29.17936
2225,3824,0,123.2129175,20,2.1151,0.48,-43.506495,172.709718,-0.18305,0.079744,0.199665741,3.306950451,0.199665741,2.573,1.51202,35.53139
2439,3839,0,538.5267079,20,2.63005,0.5,-43.51149,172.712093,0.153587,-0.022238,0.15518858,2.761390752,0.15518858,2.1895,0.20513,19.08469
2436,3845,0,553.5238731,20,2.58729,0.51,-43.51163,172.712081,0.174081,-0.015775,0.174794294,2.749476276,0.174794294,2.12554,0.17468,19.16903
2460,3851,0,567.9425849,20,2.76012,0.51,-43.511853,172.712418,0.263031,0.012526,0.263329086,2.7163762,0.263329086,2.23519,0.25436,19.07349
2560,3861,0,597.4456486,20,2.00146,0.51,-43.512619,172.714342,0.413066,0.303545,0.512604221,2.574596229,0.512604221,1.46437,0.28813,18.38551
2257,3897,0.6,217.2006456,20,1.74263,0.47,-43.502175,172.709962,-0.668336,-0.152625,0.685541683,3.708690307,0.685541683,2.79522,1.46848,223.8521
2295,3898,0,208.3500623,16,2.00668,0.47,-43.502498,172.710251,-0.574399,-0.207753,0.610815455,3.667746677,0.610815455,2.71139,1.46787,216.6293
2507,3902,0,520.5474663,20.1,1.59131,0.47,-43.500733,172.713402,-0.01152,-0.432826,0.43297928,3.701418294,0.43297928,2.94095,0.70033,221.07761
2344,3903,0,512.7206055,20.1,1.72449,0.46,-43.499275,172.710948,-0.470815,-0.336457,0.578679598,3.941622718,0.578679598,3.34761,0.31872,220.68799
2490,3905,0.28,381.7866388,20,1.78981,0.48,-43.502153,172.712991,-0.051703,-0.248417,0.253740431,3.599498478,0.253740431,2.75725,0.12818,221.89926
2422,3907,0,414.2211822,20.1,2.05563,0.47,-43.501101,172.711938,-0.182892,-0.231506,0.295033069,3.738841763,0.295033069,3.5119,0.42772,216.51231
2326,3910,0,402.6348962,20,2.41588,0.47,-43.500365,172.710677,-0.44146,-0.287504,0.526825855,3.86193973,0.526825855,4.12425,1.2673,218.98411
2379,3912,0.3,593.3235411,20,1.69294,0.46,-43.498624,172.711436,-0.502381,-0.445532,0.671480031,3.975185363,0.671480031,3.40664,0.61491,219.7679
2350,3914,0,292.9558145,20.1,2.42342,0.47,-43.501962,172.711014,-0.332496,-0.10405,0.348396315,3.695375847,0.348396315,3.585,0.72457,216.55975
2374,3926,0,411.8824456,20,1.86445,0.47,-43.500742,172.711375,-0.357815,-0.296317,0.46458082,3.796304424,0.46458082,3.11759,0.16991,228.79605
2443,3928,0,203.3329157,20,1.93487,0.48,-43.50376,172.712177,-0.291535,-0.511902,0.589097881,3.482762841,0.589097881,2.58437,0.88225,215.57399
2473,3930,0,251.9602937,20,1.90585,0.48,-43.503491,172.712699,-0.184293,-0.398729,0.439259292,3.493077868,0.439259292,2.57615,0.37645,214.29873
2259,3931,0,182.5438276,20.1,1.66665,0.47,-43.502625,172.709974,-0.628264,-0.196796,0.658364883,3.664694647,0.658364883,2.65178,0.33725,224.92729
2451,3932,0,223.3994451,20.1,1.93914,0.48,-43.503583,172.712264,-0.275839,-0.482331,0.555635085,3.497367977,0.555635085,2.60756,0.39428,215.38938
2303,3957,0,588.2488059,20,1.60715,0.46,-43.497517,172.710366,-0.28563,-0.363051,0.461942124,4.121144319,0.461942124,3.61382,0.30242,271.24264
2193,3958,0,525.0082624,20.1,1.77194,0.46,-43.497953,172.709539,-0.460627,-0.428861,0.629363957,4.121998831,0.629363957,3.67202,0.55213,276.71384
2223,3959,0,547.0026794,20.1,1.86364,0.45,-43.496537,172.709758,-0.473998,-0.417885,0.631903456,4.235011208,0.631903456,3.93114,0.06412,259.89543
2076,3960,0,407.7035358,20,2.55942,0.44,-43.495296,172.707352,-0.171606,-0.035944,0.175329947,4.455323295,0.175329947,4.47984,0.31339,272.84411
2009,3963,0,251.8540831,20,2.26658,0.44,-43.494144,172.705554,-0.488364,0.109843,0.500564562,4.640545479,0.500564562,3.74336,0.02974,280.75383
2048,3966,0,281.4278352,20,1.95821,0.45,-43.497057,172.706545,-0.508789,-0.176273,0.538459299,4.322262521,0.538459299,3.53762,0.34321,262.38019
2014,3971,0,254.6897731,20,2.09592,0.44,-43.493895,172.705636,-0.432735,1.65422,1.709884028,4.658255593,1.709880158,3.64137,0.31526,274.34464
2069,3973,0,361.9584364,18.9,2.45465,0.45,-43.495998,172.707145,-0.17862,-0.060411,0.188559257,4.404399217,0.188559257,4.33388,0.28006,244.6412
2098,3975,0,460.7595787,20.1,2.21018,0.45,-43.495339,172.708051,-0.14984,-0.233451,0.277401145,4.418894492,0.277401145,3.96703,0.92482,240.26755
2270,3986,0,446.2974399,20,1.49168,0.46,-43.499501,172.710034,-0.477015,-0.349156,0.591145686,3.966102977,0.591145686,3.23398,0.47105,218.29391
2231,3988,0,267.1709681,19.1,1.51943,0.47,-43.50141,172.709777,-0.633023,-0.206552,0.665869242,3.789222139,0.665869242,2.81979,0.35537,222.62308
2075,3990,0,173.4489247,20,1.3497,0.46,-43.501065,172.707314,-0.863773,-0.5478,1.02283363,3.907414562,1.02283363,2.57771,0.14275,218.29197
2153,3992,0,367.2086441,20,1.48302,0.46,-43.499786,172.708955,-0.926882,-0.397796,1.008638637,3.974905709,1.008638637,3.13239,0.20739,218.36937
2737,3993,0,119.9355713,20,1.661,0.5,-43.506096,172.716997,0.163407,-0.516996,0.542205415,3.078681956,0.542205415,2.09913,0.74267,201.11656
174,4006,0,244.527692,20,2.40327,0.43,-43.517424,172.660984,0.096591,-0.169416,0.195016928,4.254507309,0.195016928,3.81548,0.28529,87.27833
39,4011,0,451.9873238,20,2.28409,0.43,-43.517835,172.657415,0.272209,-0.13822,0.305290858,4.362970438,0.305290858,4.72524,0.3492,95.97746
33,4012,0,373.6227077,20.2,2.74643,0.43,-43.519097,172.657125,0.33628,-0.384908,0.511114867,4.262282519,0.511114867,4.88537,0.43556,130.83122
73,4013,0.2,366.1326306,19.9,2.58754,0.43,-43.51838,172.658172,0.23686,-0.149536,0.280113682,4.280976596,0.280113682,4.5573,0.28362,133.6571
158,4014,0,175.1183097,20,3.22918,0.44,-43.519104,172.660515,0.107664,-0.196624,0.22417077,4.116620029,0.22417077,4.50082,0.29416,130.9255
230,4022,0,321.5428382,20,2.96809,0.42,-43.513359,172.662514,0.185437,-0.192588,0.267351863,4.590270999,0.267351863,4.34446,0.19952,143.6265
86,4024,0.3,517.5524683,19.9,1.92625,0.42,-43.514388,172.658556,0.035056,-0.052582,0.063196439,4.635383518,0.063196439,3.71031,1.18401,129.7778
218,4027,0,349.2596624,20,2.93671,0.42,-43.513307,172.662126,0.146028,-0.176043,0.228725413,4.608572398,0.228725413,4.35836,0.07017,115.41938
202,4028,0,252.6221303,20,2.65051,0.43,-43.515159,172.661714,0.161021,-0.249199,0.296694968,4.443042202,0.296694968,4.05716,0.01377,129.82573
2661,4036,0,565.8867486,19.9,1.6742,0.48,-43.501468,172.715649,-0.116901,-0.496114,0.509700839,3.536029601,0.509700839,3.03241,0.79795,123.0044
2771,4038,0,217.4433633,20.1,1.86279,0.49,-43.505312,172.717554,0.3309,-0.701781,0.775881036,3.118128855,0.775881036,2.39727,0.34245,196.96224
2778,4039,0,352.3725417,20,2.30224,0.49,-43.504026,172.717613,0.318899,-0.508819,0.600494252,3.22566184,0.600494252,2.911,0.83381,201.45567
2716,4041,0,443.195088,19.9,2.12076,0.49,-43.502904,172.71664,-0.044528,-0.499418,0.501399124,3.366379126,0.501399124,3.19063,1.12175,200.73305
2653,4042,0,315.7148707,20.1,1.57815,0.49,-43.503835,172.715535,0.111947,-0.578778,0.589504965,3.336810295,0.589504965,2.35589,0.51312,194.51933
2668,4043,0,298.5743147,20,1.82689,0.49,-43.504091,172.715749,0.115887,-0.609295,0.62021786,3.305149493,0.62021786,2.20279,1.7008,205.76298
2516,4044,0,284.0406647,20,1.56881,0.48,-43.503558,172.713568,-0.034575,-0.388403,0.389938868,3.454293822,0.389938868,2.48,0.64494,199.43518
2666,4045,0,111.7354574,20,1.44835,0.49,-43.505815,172.715705,-0.027256,-0.36976,0.370763195,3.16427164,0.370763195,1.91795,0.43023,207.5295
2521,4050,0,271.1736567,20,1.65805,0.48,-43.503736,172.713692,-0.034701,-0.311602,0.313528254,3.43351352,0.313528254,2.4742,0.71317,199.14152
2595,4052,0,596.6935293,20,1.64896,0.47,-43.500717,172.714772,-0.094232,-0.518231,0.52672862,3.640917788,0.52672862,3.02998,0.02126,207.54989
2517,4055,0,321.8069686,20.1,1.4744,0.48,-43.503175,172.713594,-0.11265,-0.441115,0.455271859,3.484808243,0.455271859,2.41173,0.36467,221.88633
2776,4059,0.4,246.8200047,20,1.91125,0.49,-43.505039,172.717595,0.365087,-0.762579,0.845467474,3.139421503,0.845467474,2.54216,0.36334,214.26202
2585,4067,0,327.1503128,20,1.70965,0.48,-43.503499,172.71468,0.104499,-0.457225,0.46901465,3.405517357,0.46901465,2.49371,0.29145,201.44657
2523,4069,0,436.7555479,20,1.54632,0.48,-43.501992,172.713761,-0.049609,-0.421862,0.424768878,3.576548605,0.424768878,2.71252,0.81033,198.10852
2769,4074,0.3,550.2027976,20,2.44792,0.48,-43.502103,172.717553,0.144622,-0.205632,0.251396186,3.397600555,0.251396186,3.45902,0.92868,221.9266
2801,4077,0,252.035727,20.1,1.76229,0.49,-43.505113,172.71803,0.376286,-0.697687,0.792690547,3.113401467,0.792690547,2.30135,0.47601,199.60491
2773,4080,0,255.7884733,20,1.90016,0.49,-43.504945,172.71757,0.357398,-0.768765,0.847781196,3.148566366,0.847781196,2.48215,0.33079,201.37339
2554,4081,0,420.8626833,20,2.04955,0.48,-43.502448,172.714305,-0.018933,-0.586028,0.586333758,3.512173075,0.586333758,3.09521,0.60231,200.78611
2796,4082,0.28,195.6307419,20,1.76124,0.5,-43.50562,172.717891,0.342684,-0.690359,0.770732037,3.076608594,0.770732037,2.1961,0.22415,207.58275
2696,4083,0,165.1614551,20,1.62609,0.49,-43.505394,172.716046,0.032812,-0.578374,0.579303989,3.182224011,0.579303989,2.1786,0.24327,201.45466
2332,4314,0,66.75135318,20,2.00303,0.49,-43.506355,172.710719,-0.107342,0.128351,0.167320902,3.283026776,0.167320902,2.218,0.17355,200.72082
2476,4316,0,553.8395871,10.2,2.79459,0.51,-43.51179,172.712698,0.330056,0.015787,0.33043334,2.710972332,0.33043334,2.10015,0.35002,29.21401
2596,4321,0.9,570.887118,20,1.98215,0.51,-43.512459,172.714729,0.322218,0.367773,0.488959527,2.57492142,0.488959527,1.45555,0.36944,19.34064
2505,4331,0,393.6830349,18.7,1.52875,0.48,-43.502227,172.713323,-0.069577,-0.265027,0.274007791,3.577356247,0.274007791,2.64396,0.63369,17.69365
2447,4332,0,287.6434115,19.9,1.90019,0.48,-43.502801,172.71224,-0.195853,-0.293461,0.352814053,3.574920094,0.352814053,2.92789,0.42771,221.81177
2416,4333,0.15,500.695569,19.9,1.79565,0.47,-43.499981,172.711902,-0.200673,-0.511348,0.549314509,3.836023649,0.549314509,3.43239,0.05218,221.93738
2487,4334,0,336.5209085,20.2,1.56814,0.48,-43.502654,172.712918,-0.097441,-0.33592,0.349767058,3.561076072,0.349767058,2.50759,0.53923,224.6972
2412,4335,0,305.3364884,18.4,1.98891,0.48,-43.502345,172.711875,-0.247208,-0.218173,0.329713896,3.630973439,0.329713896,3.06597,0.90742,221.88955
2329,4336,0,274.0403502,12.2,2.34055,0.47,-43.502005,172.710723,-0.447698,-0.109104,0.460800588,3.700411224,0.460800588,3.54584,0.6151,223.39026
2562,4338,0.3,286.8122331,20.1,2.01212,0.48,-43.503811,172.714385,0.12044,-0.20731,0.239756605,3.393562698,0.239756605,2.84842,0.45478,224.92139
2786,4339,0,461.6199879,19.9,2.21032,0.49,-43.503005,172.717729,0.10418,-0.204187,0.229228714,3.309977176,0.229228714,3.26075,0.46963,198.15193
2789,4341,0,410.5435554,12.5,2.58343,0.49,-43.503513,172.717786,0.086531,-0.224779,0.240859322,3.262806555,0.240859322,3.69754,0.84214,200.76066
1184,4397,0,310.8834076,19.9,1.65356,0.44,-43.504052,172.687236,-0.14741,-0.124507,0.192955179,4.446455827,0.192955179,1.60697,0.47964,200.83301
1367,4398,0,474.2667764,20.1,1.89321,0.45,-43.507858,172.688673,-0.009894,-0.099494,0.099984735,4.04764325,0.099984735,1.79302,0.04365,287.48674
1172,4400,0.2,346.1440154,20,2.18814,0.45,-43.507828,172.687075,0.063245,-0.120237,0.13585605,4.114421535,0.13585605,2.07461,0.37607,262.82612
1853,4401,0.2,151.239218,19.9,2.22176,0.45,-43.502601,172.698699,-0.189416,0.26238,0.323607301,4.129751663,0.323607301,2.30765,0.28177,265.74725
2678,4404,0,484.1938973,20,1.87561,0.51,-43.511891,172.715793,0.111855,0.459334,0.472757088,2.590242286,0.472757088,1.41892,0.21799,342.2964
1857,4405,0.5,175.0649863,19.9,2.05531,0.45,-43.502785,172.698878,-0.278065,0.2411,0.368034447,4.105429062,0.368034447,2.05758,0.18882,18.06225
1922,4406,0.2,226.4342692,19.9,2.04536,0.46,-43.503072,172.700611,-0.376805,-0.020286,0.377350672,3.999407457,0.377350672,2.19142,0.43038,342.06773
1869,4407,0,167.0870305,19.9,1.96754,0.45,-43.502653,172.699124,-0.276832,0.286095,0.398103385,4.105120852,0.398103385,1.98886,0.04204,359.52235
1513,4439,0.15,481.8765097,19.9,2.50997,0.42,-43.496363,172.690371,-0.051501,-0.209818,0.216046167,5.035639942,0.216046167,3.70662,0.50858,342.28045
1517,4440,0.15,418.129576,19.9,2.614,0.42,-43.496997,172.69039,-0.054111,-0.411456,0.414998844,4.973488365,0.414998844,3.7313,0.11375,201.8629
210,4455,0.3,322.4056646,19.9,3.07582,0.42,-43.513913,172.661883,0.217096,-0.195226,0.291965519,4.557794754,0.291965519,4.30356,0.10722,205.69385
1025,4474,0,179.4126906,20,2.07921,0.46,-43.513092,172.685311,-0.113346,-0.244073,0.269107683,3.674837143,0.269107683,1.98587,0.628,127.39358
2366,4492,0,286.7974731,20,2.24537,0.47,-43.502193,172.711294,-0.269499,-0.183715,0.326160869,3.663902924,0.326160869,3.31272,0.97046,283.33314
2417,4493,0,573.6455343,19.1,1.89513,0.47,-43.499116,172.711919,-0.20615,-0.58047,0.615989646,3.910078784,0.615989646,3.61793,0.29183,219.5081
2410,4498,0,507.1311857,20,1.78833,0.47,-43.499881,172.711875,-0.177255,-0.518866,0.548307634,3.845891924,0.548307634,3.32487,0.17534,218.00577
2390,4499,0,486.3245361,20,1.82408,0.47,-43.499946,172.711594,-0.260231,-0.470033,0.537262687,3.853533581,0.537262687,3.36165,0.2639,223.63002
2365,4500,0,427.9249718,17.8,1.97266,0.47,-43.500472,172.711302,-0.264643,-0.334792,0.426757075,3.822649892,0.426757075,3.36803,0.25039,222.2915
2645,4503,0,231.2836036,13.2,1.68581,0.49,-43.504655,172.715444,0.16903,-0.477845,0.506859926,3.272381432,0.506859926,2.5452,0.62413,225.24877
2642,4505,0,166.6472392,17.7,1.4944,0.49,-43.505266,172.715416,0.09722,-0.405565,0.41705479,3.223281596,0.41705479,2.12539,0.14157,199.39498
2689,4509,0,463.9479071,20,1.86722,0.48,-43.502509,172.715948,-0.064642,-0.496732,0.500920421,3.431630367,0.500920421,2.9044,1.01409,199.58845
2692,4516,0,555.9527119,19.8,1.91217,0.48,-43.501649,172.716029,-0.113664,-0.427581,0.442430804,3.503397482,0.442430804,3.07,0.93442,201.50686
2617,4517,0,388.274823,20.3,1.70542,0.48,-43.502981,172.714937,0.077969,-0.654275,0.658904349,3.437237134,0.658904349,2.70618,0.19028,198.48896
2695,4519,0,236.998344,20,1.60871,0.49,-43.504711,172.716047,0.134137,-0.69982,0.712559308,3.238987863,0.712559308,2.28369,0.44885,198.05584
2656,4523,0,470.1234557,18.7,1.65551,0.48,-43.502354,172.715577,-0.054776,-0.6583,0.660574977,3.461777847,0.660574977,2.73243,0.43503,195.62545
2703,4524,0,450.695142,20,2.27598,0.48,-43.502726,172.716221,-0.040908,-0.493669,0.495361026,3.40053671,0.495361026,3.45978,0.65265,197.32783
2684,4527,0,418.9813128,19.3,1.6249,0.48,-43.502933,172.715899,-0.062756,-0.593304,0.596613738,3.397096009,0.596613738,2.63436,1.31155,205.25257
2649,4529,0,422.7796526,20,1.71879,0.48,-43.502781,172.715485,-0.011433,-0.694246,0.694340134,3.429050872,0.694340134,2.75881,0.69366,203.38571
2624,4530,0,349.7163232,20,1.64335,0.48,-43.503363,172.715019,0.102182,-0.569879,0.578967387,3.400963293,0.578967387,2.54426,0.18543,198.30501
2704,4531,0,493.4680556,20,2.25726,0.48,-43.502321,172.716277,-0.027287,-0.471225,0.472014386,3.43340814,0.472014386,3.5327,0.24716,197.03508
2690,4533,0,568.2649934,20,1.80629,0.48,-43.501524,172.715997,-0.122828,-0.436419,0.453374306,3.515833536,0.453374306,3.06737,0.34773,203.48331
2597,4534,0,454.8136509,19.9,1.89148,0.48,-43.502285,172.714782,-0.040189,-0.633245,0.634519019,3.503976013,0.634519019,3.06372,0.4032,197.79678
1068,4536,0,220.7053891,16.2,2.01087,0.46,-43.512864,172.685911,-0.056716,-0.233923,0.240700383,3.672573713,0.240700383,2.36149,0.24415,207.54204
1385,4540,0,436.1415074,16.3,1.81378,0.47,-43.512217,172.688847,-0.048345,-0.257263,0.261766098,3.62785835,0.261766098,2.37129,0.22311,283.06726
1355,4541,0,402.1877284,19.3,2.2903,0.46,-43.511537,172.688522,-0.10929,-0.146218,0.182548645,3.70454981,0.182548645,2.68474,0.0396,280.6142
1216,4543,0,359.2686589,20,1.72681,0.47,-43.513509,172.687463,0.046459,-0.240257,0.244707713,3.553588935,0.244707713,2.11427,0.75484,270.70026
1456,4547,0,488.9358851,17.3,1.64142,0.47,-43.511876,172.689572,-0.114723,-0.265099,0.288857831,3.636987727,0.288857831,2.339,0.23818,283.20418
1551,4548,0,591.1606786,20,1.4634,0.46,-43.509829,172.690737,-0.096131,-0.212794,0.23350044,3.780976946,0.23350044,1.9506,0.47649,274.9465
2604,4573,0,479.9768783,19.9,1.7652,0.48,-43.502045,172.714822,-0.092629,-0.570472,0.57794328,3.522822227,0.57794328,2.79739,0.21133,261.74195
2674,4574,0,288.0855415,19.9,1.84192,0.49,-43.504202,172.715805,0.132099,-0.629758,0.643463507,3.293158737,0.643463507,2.67214,1.53722,207.59836
2198,4583,0,568.3215505,20,2.25603,0.45,-43.495434,172.709592,-0.311727,-0.491147,0.581720808,4.340091418,0.581720808,4.43365,0.12131,188.8098
2709,4585,0,232.2130924,20,1.58462,0.49,-43.504819,172.716302,0.085734,-0.761363,0.766174873,3.217907228,0.766174873,2.12497,0.2533,247.40032
54,4589,0,440.9636913,15,2.23331,0.43,-43.517721,172.657733,0.22833,-0.136028,0.26577849,4.359664748,0.26577849,4.4483,0.15974,200.85185
2969,4624,0,102.0234168,19.9,1.39097,0.52,-43.510163,172.725506,0.123301,0.038161,0.129071292,2.363468804,0.129071292,1.65219,1.30384,131.84551
2800,4625,0,206.5805036,19.9,1.73362,0.5,-43.505543,172.717994,0.355245,-0.693565,0.77925055,3.078414812,0.77925055,2.24618,0.23305,206.7175
2432,4626,0,282.0960325,19.9,1.97756,0.48,-43.502756,172.712067,-0.221383,-0.279032,0.356187155,3.584626505,0.356187155,2.87491,0.26426,201.328
1608,4627,0,361.9545829,11.6,1.98028,0.43,-43.498103,172.691663,-0.023972,-0.751148,0.751530422,4.820201392,0.751530422,2.50259,0.54316,221.78576
2811,4628,0,447.6921791,19.9,2.45898,0.49,-43.503288,172.718261,0.148025,-0.15739,0.21606252,3.262211331,0.21606252,3.42771,1.19941,205.2566
2615,4629,0,439.6144965,19.2,1.95793,0.48,-43.502489,172.714911,-0.003748,-0.654491,0.654501732,3.480506146,0.654501732,2.97054,0.4249,200.81908
2547,4631,0,299.9274846,19.9,1.79397,0.48,-43.503632,172.714179,0.087975,-0.299244,0.311907955,3.418417506,0.311907955,2.65938,0.45278,198.0409
2456,4640,0,525.4961069,18.9,1.79164,0.47,-43.499985,172.712331,-0.066176,-0.560407,0.56430069,3.815642837,0.56430069,3.26298,0.30212,208.24811
2457,4641,0,395.7780675,18.9,1.7468,0.47,-43.501575,172.712381,-0.061502,-0.188208,0.198001887,3.677520645,0.198001887,2.91658,0.71273,227.40793
2452,4642,0,385.8223176,15.5,1.89294,0.47,-43.501631,172.712281,-0.076818,-0.188352,0.203414555,3.677625082,0.203414555,2.95509,0.71273,221.02929
2492,4643,0,398.5192161,20,1.88085,0.48,-43.501983,172.713041,-0.027844,-0.242004,0.243600543,3.611433928,0.243600543,2.95921,0.67438,220.72462
1621,4647,0,559.3839648,16,3.14601,0.42,-43.496148,172.691902,0.227645,-0.328351,0.399545523,5.002725526,0.399545523,4.34253,1.07325,221.80196
1610,4648,0,546.2796598,15.8,3.18931,0.42,-43.496203,172.691704,0.147029,-0.336208,0.366951422,5.004147875,0.366951422,4.26224,0.39338,209.32565
1547,4650,0,586.5745701,14.5,2.69297,0.42,-43.495467,172.69078,-0.046435,-0.079167,0.091780298,5.108466932,0.091780298,4.06504,0.44544,209.05456
2271,4653,0,120.9449802,16.4,2.0642,0.49,-43.506617,172.710002,-0.182785,0.096058,0.206488488,3.284941763,0.206488488,2.0278,1.57592,201.20731
2319,4655,0,72.83451086,19.9,1.98199,0.49,-43.506346,172.710546,-0.139304,0.129466,0.190176364,3.290137558,0.190176364,2.23147,0.18466,33.39966
1380,4659,0,376.4836106,17,2.3271,0.42,-43.497012,172.68886,0.019137,-0.16535,0.166453739,5.029129747,0.166453739,3.30785,0.33578,28.96875
1315,4670,0,404.3283781,20.1,2.30511,0.42,-43.496665,172.688257,0.052872,-0.184669,0.19208875,5.085360486,0.19208875,3.58831,0.63073,195.5458
294,4671,0.28,334.3446947,20,2.96258,0.42,-43.51171,172.665077,0.54893,0.121267,0.562165305,4.629128317,0.562165305,4.26793,0.21307,187.3848
1314,4672,0,407.4728899,20,2.30979,0.42,-43.496636,172.688249,0.052551,-0.187621,0.194841595,5.088435935,0.194841595,3.52678,0.63073,157.19119
1435,4673,0,304.623542,20,2.61848,0.42,-43.497805,172.689414,-0.025485,-0.186136,0.187872552,4.932210504,0.187872552,3.60893,0.95907,187.22971
1638,4674,0,183.5703572,20,2.00146,0.45,-43.503948,172.69215,-0.077112,-0.101514,0.127480794,4.245434783,0.127480794,2.18154,0.1499,199.70219
1363,4675,0,467.9098339,20,1.73196,0.45,-43.506408,172.688643,-0.038014,-0.160228,0.16467567,4.174583672,0.16467567,1.86542,0.12958,5.40387
1345,4676,0,453.6646279,20,1.75215,0.45,-43.506236,172.688491,-0.04561,-0.152981,0.159635392,4.196646582,0.159635392,1.96391,0.21203,275.84729
1420,4677,0,432.9468647,20,1.74351,0.45,-43.505703,172.689263,-0.146545,-0.231667,0.274125949,4.208445165,0.274125949,2.01772,0.08859,275.87848
1576,4679,0,562.6064345,20,1.32258,0.45,-43.507309,172.691207,-0.18809,-0.093339,0.20997623,3.979064226,0.20997623,1.98766,0.16811,22.91742
1168,4680,0,341.9446267,20,2.23383,0.45,-43.507967,172.687042,0.068295,-0.138464,0.154390694,4.101838591,0.154390694,2.13195,0.32824,6.03002
