FID,CPT,predrill (m),L (m),Depth of Test (m),GWT (m),PGA (g),Lat,Long,CH_EW_RMSE,CH_NS_RMSE,CH_APL_mod (m),Rrup,CH_APL,Elevation (m),Slope_5m (%),River_Dir (deg)
729,1101,0.8,207.6573506,21.1,1.71268,0.45,-43.512812,172.679787,-0.389656,-0.050846,0.392959431,3.936956846,0.392959431,2.3017,0.38392,109.419
808,1102,0.8,17.74571585,15.6,1.79304,0.46,-43.512616,172.682376,1.25,-1,1.600781059,3.839217002,0.758522156,2.21443,2.09098,100.45347
622,1103,0.8,455.7871791,20.9,1.33096,0.44,-43.511644,172.6771,0.017655,-0.096691,0.098289615,4.163968575,0.098289615,2.37021,0.71035,109.44167
734,1104,0.8,228.8657199,23.5,1.5384,0.45,-43.511352,172.679958,-0.434989,-0.040847,0.436902629,4.0577842,0.436902629,1.91061,0.76718,92.10482
816,1105,0.8,13.77037479,21.3,1.9327,0.45,-43.510957,172.682634,1.21,-0.10761,1.214775663,3.979339673,0.507458939,2.18065,2.25782,88.65522
636,1106,0.8,400.9077427,18.9,1.57981,0.44,-43.509348,172.677393,0.026467,-0.15798,0.160181717,4.350760727,0.160181717,2.03558,0.26192,82.23185
804,1108,0.8,5.552315619,31.3,1.28232,0.45,-43.508976,172.682276,1.29,0.003719,1.290005361,4.177398534,1.10465226,1.82171,1.56176,71.81823
745,1110,0.8,122.1762665,25.4,2.16158,0.44,-43.507129,172.680624,-0.03126,0.076529,0.082667257,4.415663575,0.082667257,1.97864,0.97761,87.93577
788,1111,0.8,6.509519162,22.3,1.45041,0.44,-43.50777,172.682092,1.18,0.010559,1.180047242,4.297813739,0.87819848,1.8416,0.66069,82.7163
572,1112,1.2,497.7728276,23.4,2.28186,0.43,-43.506165,172.67599,-0.05218,-0.07792,0.093777816,4.69845221,0.093777816,1.88675,0.70644,90.56609
675,1113,0.8,306.592999,20,1.9608,0.43,-43.506759,172.678344,0.076935,-0.083717,0.113699298,4.543251194,0.113699298,1.57451,0.29313,90.50169
791,1114,0.8,7.383080861,26.7,1.30541,0.43,-43.505487,172.682131,1.37,-0.172485,1.380815366,4.513672022,0.315451095,1.95107,1.21732,97.94929
380,1115,0.8,11.46706923,30.3,2.57252,0.44,-43.514431,172.6699,-0.06085,-0.373,0.377930844,4.173102756,0.301227078,3.70724,4.62622,218.96454
430,1117,0.8,511.6866243,22,1.11287,0.43,-43.510158,172.672491,-0.118374,-0.150254,0.191281647,4.474235661,0.191281647,1.93014,0.2259,208.60503
497,1118,0.8,594.7046971,20.7,1.8731,0.43,-43.507864,172.674807,0.08875,-0.071349,0.1138738,4.600309629,0.1138738,2.32488,1.08943,87.22297
438,1119,1.2,7.425734613,29.2,2.06886,0.45,-43.516959,172.672833,-0.884,-0.178689,0.901879016,3.819990812,0.787290366,2.9394,3.76677,256.71475
441,1120,1.2,11.89402071,21,2.1042,0.46,-43.517416,172.672899,-0.935,-0.126158,0.943472756,3.775611619,0.76203849,2.67431,2.48286,275.35214
409,1121,1.2,5.403751982,24,1.43244,0.46,-43.518229,172.67148,-0.37912,1.40943,1.459528999,3.763483192,1.435479589,1.99932,2.04821,307.01852
396,1122,1.2,6.262580526,24.6,1.34732,0.46,-43.518918,172.670921,-0.843112,0.054145,0.844848818,3.728044219,0.844848818,1.80951,0.59435,299.01287
389,1123,1.2,13.32550459,14.2,1.47048,0.46,-43.519446,172.670668,-0.556292,-0.345645,0.654928435,3.693942233,0.654928435,1.97851,1.01739,284.36386
554,1130,1.2,1.712909955,29.1,1.33236,0.47,-43.518989,172.675662,0.35,-0.249709,0.429947188,3.519674031,0.354563858,1.92271,1.13044,89.99785
614,1131,1.2,3.961506273,13.1,1.79558,0.46,-43.517738,172.676863,-0.008519,-0.265469,0.265605654,3.590699729,0.265605654,2.62211,1.8037,152.28091
744,1132,1.2,5.498336544,20.7,1.73104,0.47,-43.51689,172.680465,0.7127,-0.440311,0.837744034,3.551976706,0.571000571,2.19126,2.35339,104.0725
792,1133,1.2,8.45274613,9.5,1.82042,0.46,-43.513446,172.682092,1.1686,-0.873,1.46,3.777394031,0.923771758,2.29082,1.22571,108.33584
814,1134,1.2,8.950588356,30.6,1.47039,0.46,-43.512319,172.682559,1.26,-0.38,1.31605471,3.858220598,0.884636392,2.05858,1.68524,100.00811
819,1135,1.2,6.149171876,30.8,1.53323,0.45,-43.511772,172.682691,1.48,-0.278564,1.505987351,3.902362959,0.670490578,2.06895,2.10879,97.28671
817,1136,1.2,9.512074835,31.3,1.67022,0.45,-43.510394,172.682646,0.92,-0.080482,0.923513591,4.030774316,0.478754279,1.95671,2.01685,80.64573
812,1137,1.2,8.597576309,23.8,1.38362,0.45,-43.509809,172.682529,1.15,0.117297,1.155966516,4.0897133,0.884181941,1.87622,1.38743,78.42707
802,1138,1.2,4.596038906,30.5,1.24122,0.44,-43.508855,172.68225,1.3,-0.011599,1.300051744,4.189737405,1.023649716,1.82173,1.46682,78.43015
787,1139,1.2,6.072922818,21.6,1.39794,0.44,-43.507508,172.682076,1.14,0.05952,1.141552728,4.323163861,0.862060201,1.87643,0.59311,90.10913
1954,1419,1.2,47.69040098,16.9,1.35067,0.44,-43.496354,172.702814,-1.61213,-0.242176,1.630218498,4.52332419,1.630218498,1.9795,0.21974,271.35692
1978,1420,1.2,133.3422439,15.3,0.89242,0.45,-43.497392,172.704742,-0.869718,-0.15621,0.883635085,4.352714152,0.883635085,1.95615,0.2442,270.19806
1993,1421,1.2,217.9902602,18.1,0.838543,0.45,-43.499186,172.705247,-0.925131,-0.364212,0.994242298,4.162326398,0.994242298,1.86137,0.65488,263.0003
1976,1422,1.2,27.67568754,15.3,0.963579,0.46,-43.501315,172.704604,-0.63908,-0.817319,1.037513178,3.986455934,1.037513178,1.70158,0.40545,208.75092
2067,1423,1.2,32.08644098,18.1,1.22142,0.47,-43.502513,172.707003,-0.659993,-0.424816,0.784894511,3.781505949,0.784894511,1.80883,0.22246,221.20953
2195,1424,1.2,39.44212993,20.4,1.18871,0.48,-43.504026,172.70953,-0.498431,-0.343698,0.605443455,3.545718088,0.605443455,1.55007,0.4132,224.00487
2469,1425,1.2,98.93083623,14.3,1.29571,0.49,-43.505068,172.712595,-0.387549,-0.5037,0.635537503,3.342228081,0.635537503,1.74005,0.78191,207.77185
2502,1426,1.2,341.1641122,14.3,1.50804,0.48,-43.50279,172.713247,-0.078202,-0.378952,0.386936908,3.53374438,0.386936908,2.37604,0.4655,214.20479
2977,1427,1.2,48.1505736,17.2,0.823512,0.54,-43.515295,172.726091,-0.021207,-0.12334,0.12514988,1.927274594,0.12514988,1.50135,0.43859,287.11284
1962,1428,1.2,125.7146117,10.5,0.898773,0.44,-43.494566,172.703899,-0.519315,-0.064734,0.523334081,4.656553079,0.523334081,1.78041,0.9942,273.75382
2024,1429,1.2,301.8464531,24.4,1.73573,0.44,-43.495777,172.706104,-0.425669,-0.230893,0.48425786,4.462665713,0.48425786,3.0163,0.59018,233.56487
2174,1430,1.2,516.1463464,25.5,1.73776,0.45,-43.496204,172.709268,-0.583559,-0.393761,0.703980704,4.28676996,0.703980704,3.64812,0.27154,255.08788
2145,1431,1.2,469.828005,9.6,1.46074,0.46,-43.498078,172.708825,-0.530057,-0.493734,0.72438504,4.14545178,0.72438504,3.30765,0.32038,279.24794
2095,1432,1.2,238.227507,24.7,1.07382,0.46,-43.500678,172.707932,-0.888639,-0.522899,1.031068687,3.922704529,1.031068687,2.60654,0.32362,218.38802
2036,1433,1.2,47.9768588,22.6,1.24018,0.46,-43.501948,172.706347,-0.597301,-0.471805,0.76116256,3.859495745,0.76116256,1.88907,0.87054,218.14617
2218,1434,1.2,184.3739204,15.9,1.68412,0.47,-43.502411,172.709713,-0.65328,-0.180744,0.67782236,3.694191176,0.67782236,2.457,0.54195,224.72987
2395,1435,1.2,458.3797269,23.5,1.88918,0.47,-43.500348,172.711661,-0.251213,-0.381211,0.456541124,3.81600095,0.456541124,3.21156,0.40003,226.56557
