RSNID,D5-75,D5-95,Ia,Event,Year,StationName,Magnitude,Mechanism,Rjb(km),Rrup(km),Vs30(m/sec),LowestUseableFrequency(Hz),Horizontal-1Acc.Filename,Horizontal-2Acc.Filename,VerticalAcc.Filename
6879,18.2,34.1,0.3,"""Darfield_NewZealand""",2010,"""ADCS""",7,strikeslip,28.46,31.41,249.28,0.125,RSN6879_DARFIELD_ADCSN42W.AT2,RSN6879_DARFIELD_ADCSN48E.AT2,RSN6879_DARFIELD_ADCSUP.AT2
6881,13.8,35.9,0,"""Darfield_NewZealand""",2010,"""ARKS""",7,strikeslip,333.21,333.21,535.24,0.2875,RSN6881_DARFIELD_ARKSN12E.AT2,RSN6881_DARFIELD_ARKSS78E.AT2,RSN6881_DARFIELD_ARKSUP.AT2
6882,28.6,52.5,0,"""Darfield_NewZealand""",2010,"""ARPS""",7,strikeslip,124.96,124.96,586.28,0.025,RSN6882_DARFIELD_ARPSS10W.AT2,RSN6882_DARFIELD_ARPSS80E.AT2,RSN6882_DARFIELD_ARPSUP.AT2
6884,49.6,57.2,0,"""Darfield_NewZealand""",2010,"""BDCS""",7,strikeslip,331.2,332.05,477.35,0.2875,RSN6884_DARFIELD_BDCSN59E.AT2,RSN6884_DARFIELD_BDCSS31E.AT2,RSN6884_DARFIELD_BDCSUP.AT2
6885,64.4,76.8,0,"""Darfield_NewZealand""",2010,"""BFZ""",7,strikeslip,452.22,452.22,649.67,0.1125,RSN6885_DARFIELD_BFZE.AT2,RSN6885_DARFIELD_BFZN.AT2,RSN6885_DARFIELD_BFZUP.AT2
6886,15.1,35.1,0.9,"""Darfield_NewZealand""",2010,"""CanterburyAeroClub""",7,strikeslip,14.48,14.48,280.26,0.05,RSN6886_DARFIELD_CACSN40E.AT2,RSN6886_DARFIELD_CACSN50W.AT2,RSN6886_DARFIELD_CACSUP.AT2
6887,11,28.5,0.9,"""Darfield_NewZealand""",2010,"""ChristchurchBotanicalGardens""",7,strikeslip,18.05,18.05,187,0.05,RSN6887_DARFIELD_CBGSN89W.AT2,RSN6887_DARFIELD_CBGSS01W.AT2,RSN6887_DARFIELD_CBGSUP.AT2
6888,11.6,27.8,1.3,"""Darfield_NewZealand""",2010,"""ChristchurchCathedralCollege""",7,strikeslip,19.89,19.89,198,0.05,RSN6888_DARFIELD_CCCCN26W.AT2,RSN6888_DARFIELD_CCCCN64E.AT2,RSN6888_DARFIELD_CCCCUP.AT2
6889,12,26.6,1.2,"""Darfield_NewZealand""",2010,"""ChristchurchHospital""",7,strikeslip,18.4,18.4,194,0.0375,RSN6889_DARFIELD_CHHCN01W.AT2,RSN6889_DARFIELD_CHHCS89W.AT2,RSN6889_DARFIELD_CHHCUP.AT2
6890,9,20,1.1,"""Darfield_NewZealand""",2010,"""ChristchurchCashmereHighSchool""",7,strikeslip,17.64,17.64,204,0.075,RSN6890_DARFIELD_CMHSN10E.AT2,RSN6890_DARFIELD_CMHSS80E.AT2,RSN6890_DARFIELD_CMHSUP.AT2
6891,15.4,28.9,0.4,"""Darfield_NewZealand""",2010,"""CSHS""",7,strikeslip,43.6,43.6,638.39,0.0375,RSN6891_DARFIELD_CSHSN76W.AT2,RSN6891_DARFIELD_CSHSS14W.AT2,RSN6891_DARFIELD_CSHSUP.AT2
6892,73.2,80.6,0,"""Darfield_NewZealand""",2010,"""DCZ""",7,strikeslip,417.72,418.4,638.39,0.0375,RSN6892_DARFIELD_DCZE.AT2,RSN6892_DARFIELD_DCZN.AT2,RSN6892_DARFIELD_DCZUP.AT2
6893,15,21.3,2.8,"""Darfield_NewZealand""",2010,"""DFHS""",7,strikeslip,11.86,11.86,344.02,0.1625,RSN6893_DARFIELD_DFHSS17E.AT2,RSN6893_DARFIELD_DFHSS73W.AT2,RSN6893_DARFIELD_DFHSUP.AT2
6894,41.4,53.4,0,"""Darfield_NewZealand""",2010,"""DGNS""",7,strikeslip,265.51,266.57,500.35,0.25,RSN6894_DARFIELD_DGNSS18W.AT2,RSN6894_DARFIELD_DGNSS72E.AT2,RSN6894_DARFIELD_DGNSUP.AT2
6895,30.9,47.7,0.1,"""Darfield_NewZealand""",2010,"""DKHS""",7,strikeslip,270.2,271.24,343.27,0.0375,RSN6895_DARFIELD_DKHSN33W.AT2,RSN6895_DARFIELD_DKHSN57E.AT2,RSN6895_DARFIELD_DKHSUP.AT2
6896,15.9,27.9,0.2,"""Darfield_NewZealand""",2010,"""DORC""",7,strikeslip,29.96,32.91,280.26,0.125,RSN6896_DARFIELD_DORCN20W.AT2,RSN6896_DARFIELD_DORCN70E.AT2,RSN6896_DARFIELD_DORCUP.AT2
6897,13,19.6,2.1,"""Darfield_NewZealand""",2010,"""DSLC""",7,strikeslip,5.28,8.46,295.74,0.075,RSN6897_DARFIELD_DSLCN27W.AT2,RSN6897_DARFIELD_DSLCN63E.AT2,RSN6897_DARFIELD_DSLCUP.AT2
6898,27.3,46,0,"""Darfield_NewZealand""",2010,"""DSZ""",7,strikeslip,207.34,207.34,638.39,0.05,RSN6898_DARFIELD_DSZE.AT2,RSN6898_DARFIELD_DSZN.AT2,RSN6898_DARFIELD_DSZUP.AT2
6899,37.6,63.4,0,"""Darfield_NewZealand""",2010,"""EAZ""",7,strikeslip,262.75,263.82,638.39,0.05,RSN6899_DARFIELD_EAZE.AT2,RSN6899_DARFIELD_EAZN.AT2,RSN6899_DARFIELD_EAZUP.AT2
6900,17,23.3,0,"""Darfield_NewZealand""",2010,"""EBPS""",7,strikeslip,326.8,326.8,561.04,0.5,RSN6900_DARFIELD_EBPSS38W.AT2,RSN6900_DARFIELD_EBPSS52E.AT2,RSN6900_DARFIELD_EBPSUP.AT2
6901,14,29.7,0.3,"""Darfield_NewZealand""",2010,"""FDCS""",7,strikeslip,90.17,91.59,389.54,0.0375,RSN6901_DARFIELD_FDCSN09W.AT2,RSN6901_DARFIELD_FDCSS81W.AT2,RSN6901_DARFIELD_FDCSUP.AT2
6902,26.6,40.2,0,"""Darfield_NewZealand""",2010,"""FGPS""",7,strikeslip,141.18,141.18,476.62,0.05,RSN6902_DARFIELD_FGPSN02E.AT2,RSN6902_DARFIELD_FGPSN88W.AT2,RSN6902_DARFIELD_FGPSUP.AT2
6903,24.4,40.4,0,"""Darfield_NewZealand""",2010,"""FJDS""",7,strikeslip,129.46,129.46,476.62,0.025,RSN6903_DARFIELD_FJDSN83E.AT2,RSN6903_DARFIELD_FJDSS07E.AT2,RSN6903_DARFIELD_FJDSUP.AT2
6904,35.4,52.6,0,"""Darfield_NewZealand""",2010,"""FKPS""",7,strikeslip,320.76,320.76,485.04,0.25,RSN6904_DARFIELD_FKPSN08W.AT2,RSN6904_DARFIELD_FKPSS82W.AT2,RSN6904_DARFIELD_FKPSUP.AT2
6905,23.7,45.2,0,"""Darfield_NewZealand""",2010,"""FOZ""",7,strikeslip,166.81,166.81,579.4,0.0375,RSN6905_DARFIELD_FOZE.AT2,RSN6905_DARFIELD_FOZN.AT2,RSN6905_DARFIELD_FOZUP.AT2
6906,5.6,16,4.7,"""Darfield_NewZealand""",2010,"""GDLC""",7,strikeslip,1.22,1.22,344.02,0.0625,RSN6906_DARFIELD_GDLCN55W.AT2,RSN6906_DARFIELD_GDLCS35W.AT2,RSN6906_DARFIELD_GDLCUP.AT2
6907,19.6,30.2,0,"""Darfield_NewZealand""",2010,"""GMTS""",7,strikeslip,137.41,137.41,485.04,0.0375,RSN6907_DARFIELD_GMTSN18E.AT2,RSN6907_DARFIELD_GMTSN72W.AT2,RSN6907_DARFIELD_GMTSUP.AT2
6908,17.4,43.4,0,"""Darfield_NewZealand""",2010,"""HAFS""",7,strikeslip,110.23,110.23,476.62,0.0375,RSN6908_DARFIELD_HAFSN77W.AT2,RSN6908_DARFIELD_HAFSS13W.AT2,RSN6908_DARFIELD_HAFSUP.AT2
6909,35.8,55.3,0,"""Darfield_NewZealand""",2010,"""HDWS""",7,strikeslip,219.88,220.07,299.42,0.0625,RSN6909_DARFIELD_HDWSN17W.AT2,RSN6909_DARFIELD_HDWSS73W.AT2,RSN6909_DARFIELD_HDWSUP.AT2
6910,20.9,40.6,0,"""Darfield_NewZealand""",2010,"""HMCS""",7,strikeslip,119.11,119.11,289.69,0.0625,RSN6910_DARFIELD_HMCSN37E.AT2,RSN6910_DARFIELD_HMCSN53W.AT2,RSN6910_DARFIELD_HMCSUP.AT2
6911,7,9.5,3.2,"""Darfield_NewZealand""",2010,"""HORC""",7,strikeslip,7.29,7.29,326.01,0.125,RSN6911_DARFIELD_HORCN18E.AT2,RSN6911_DARFIELD_HORCS72E.AT2,RSN6911_DARFIELD_HORCUP.AT2
6912,11.6,25.8,0.6,"""Darfield_NewZealand""",2010,"""HulverstoneDrivePumpingStation""",7,strikeslip,25.4,25.4,206,0.4125,RSN6912_DARFIELD_HPSCN04W.AT2,RSN6912_DARFIELD_HPSCS86W.AT2,RSN6912_DARFIELD_HPSCUP.AT2
6913,16.9,31.3,0.1,"""Darfield_NewZealand""",2010,"""HSES""",7,strikeslip,122.25,122.25,644.76,0.0625,RSN6913_DARFIELD_HSESN10E.AT2,RSN6913_DARFIELD_HSESN80W.AT2,RSN6913_DARFIELD_HSESUP.AT2
6914,49.4,73.4,0,"""Darfield_NewZealand""",2010,"""HUKS""",7,strikeslip,513.11,513.11,384.86,0.25,RSN6914_DARFIELD_HUKSN34E.AT2,RSN6914_DARFIELD_HUKSS56E.AT2,RSN6914_DARFIELD_HUKSUP.AT2
6915,8.5,15.7,4.1,"""Darfield_NewZealand""",2010,"""HeathcoteValleyPrimarySchool""",7,strikeslip,24.36,24.47,422,0.075,RSN6915_DARFIELD_HVSCS26W.AT2,RSN6915_DARFIELD_HVSCS64E.AT2,RSN6915_DARFIELD_HVSCUP.AT2
6916,76.4,95,0,"""Darfield_NewZealand""",2010,"""HWHS""",7,strikeslip,470.68,470.68,309.78,0.0625,RSN6916_DARFIELD_HWHSN19E.AT2,RSN6916_DARFIELD_HWHSS71E.AT2,RSN6916_DARFIELD_HWHSUP.AT2
6917,85.7,105.7,0,"""Darfield_NewZealand""",2010,"""ICCS""",7,strikeslip,408.32,409.02,338.67,0.0375,RSN6917_DARFIELD_ICCSN55E.AT2,RSN6917_DARFIELD_ICCSS35E.AT2,RSN6917_DARFIELD_ICCSUP.AT2
6919,16.9,44.4,0,"""Darfield_NewZealand""",2010,"""INSS""",7,strikeslip,332.79,332.79,649.67,0.2875,RSN6919_DARFIELD_INSSN13W.AT2,RSN6919_DARFIELD_INSSS77W.AT2,RSN6919_DARFIELD_INSSUP.AT2
6920,43.2,50.6,0,"""Darfield_NewZealand""",2010,"""KHZ""",7,strikeslip,158.77,158.77,369.09,0.075,RSN6920_DARFIELD_KHZE.AT2,RSN6920_DARFIELD_KHZN.AT2,RSN6920_DARFIELD_KHZUP.AT2
6921,43.5,78.7,0,"""Darfield_NewZealand""",2010,"""KIKS""",7,strikeslip,164.93,164.93,369.09,0.0375,RSN6921_DARFIELD_KIKSN65E.AT2,RSN6921_DARFIELD_KIKSS25E.AT2,RSN6921_DARFIELD_KIKSUP.AT2
6922,20.2,35.4,0.1,"""Darfield_NewZealand""",2010,"""KOKS""",7,strikeslip,95.18,95.18,511.16,0.0625,RSN6922_DARFIELD_KOKSN26E.AT2,RSN6922_DARFIELD_KOKSS64E.AT2,RSN6922_DARFIELD_KOKSUP.AT2
6923,10.3,20.1,1.6,"""Darfield_NewZealand""",2010,"""KaiapoiNorthSchool""",7,strikeslip,30.53,30.53,255,0.2,RSN6923_DARFIELD_KPOCN15E.AT2,RSN6923_DARFIELD_KPOCS75E.AT2,RSN6923_DARFIELD_KPOCUP.AT2
6924,23,43,0,"""Darfield_NewZealand""",2010,"""LBZ""",7,strikeslip,150.54,151.79,638.39,0.0375,RSN6924_DARFIELD_LBZE.AT2,RSN6924_DARFIELD_LBZN.AT2,RSN6924_DARFIELD_LBZUP.AT2
6925,37.7,69.7,0,"""Darfield_NewZealand""",2010,"""LHES""",7,strikeslip,333.84,333.84,389.54,0.0375,RSN6925_DARFIELD_LHESN72W.AT2,RSN6925_DARFIELD_LHESS18W.AT2,RSN6925_DARFIELD_LHESUP.AT2
6926,38.6,51,0,"""Darfield_NewZealand""",2010,"""LHUS""",7,strikeslip,331.62,331.62,299.64,0.25,RSN6926_DARFIELD_LHUSS21W.AT2,RSN6926_DARFIELD_LHUSS69E.AT2,RSN6926_DARFIELD_LHUSUP.AT2
6927,8.3,12.7,2.7,"""Darfield_NewZealand""",2010,"""LINC""",7,strikeslip,5.07,7.11,263.2,0.075,RSN6927_DARFIELD_LINCN23E.AT2,RSN6927_DARFIELD_LINCN67W.AT2,RSN6927_DARFIELD_LINCUP.AT2
6928,7.6,12.9,0.7,"""Darfield_NewZealand""",2010,"""LPCC""",7,strikeslip,25.21,25.67,649.67,0.125,RSN6928_DARFIELD_LPCCN80E.AT2,RSN6928_DARFIELD_LPCCS10E.AT2,RSN6928_DARFIELD_LPCCUP.AT2
6929,22.5,39.1,0,"""Darfield_NewZealand""",2010,"""LPLS""",7,strikeslip,188.19,188.19,485.04,0.0375,RSN6929_DARFIELD_LPLSS21E.AT2,RSN6929_DARFIELD_LPLSS69W.AT2,RSN6929_DARFIELD_LPLSUP.AT2
6930,13.8,23.8,0.2,"""Darfield_NewZealand""",2010,"""LRSC""",7,strikeslip,9.38,12.52,295.74,0.375,RSN6930_DARFIELD_LRSCN49W.AT2,RSN6930_DARFIELD_LRSCS41W.AT2,RSN6930_DARFIELD_LRSCUP.AT2
6931,15.9,28.8,0,"""Darfield_NewZealand""",2010,"""LTZ""",7,strikeslip,89.18,89.18,638.39,0.0375,RSN6931_DARFIELD_LTZE.AT2,RSN6931_DARFIELD_LTZN.AT2,RSN6931_DARFIELD_LTZUP.AT2
6932,65.4,88,0,"""Darfield_NewZealand""",2010,"""MAVS""",7,strikeslip,363.92,363.92,356.39,0.2875,RSN6932_DARFIELD_MAVSS39E.AT2,RSN6932_DARFIELD_MAVSS51W.AT2,RSN6932_DARFIELD_MAVSUP.AT2
6933,15.1,25.5,0.1,"""Darfield_NewZealand""",2010,"""MAYC""",7,strikeslip,33.54,35.23,342.7,0.175,RSN6933_DARFIELD_MAYCN14E.AT2,RSN6933_DARFIELD_MAYCN76W.AT2,RSN6933_DARFIELD_MAYCUP.AT2
6934,22.1,34,0,"""Darfield_NewZealand""",2010,"""MCNS""",7,strikeslip,134.16,134.21,644.76,0.025,RSN6934_DARFIELD_MCNSN34W.AT2,RSN6934_DARFIELD_MCNSN56E.AT2,RSN6934_DARFIELD_MCNSUP.AT2
6935,32.2,46,0,"""Darfield_NewZealand""",2010,"""MECS""",7,strikeslip,212.69,213.37,551.3,0.0375,RSN6935_DARFIELD_MECSN23E.AT2,RSN6935_DARFIELD_MECSN67W.AT2,RSN6935_DARFIELD_MECSUP.AT2
6936,43.5,77.1,0,"""Darfield_NewZealand""",2010,"""MISS""",7,strikeslip,320.37,320.37,356.39,0.0375,RSN6936_DARFIELD_MISSN24E.AT2,RSN6936_DARFIELD_MISSN66W.AT2,RSN6936_DARFIELD_MISSUP.AT2
6937,28.4,47.6,0,"""Darfield_NewZealand""",2010,"""MOLS""",7,strikeslip,179.69,179.69,561.04,0.0625,RSN6937_DARFIELD_MOLSS16E.AT2,RSN6937_DARFIELD_MOLSS74W.AT2,RSN6937_DARFIELD_MOLSUP.AT2
6938,29,52.5,0,"""Darfield_NewZealand""",2010,"""MOSS""",7,strikeslip,358.26,359.05,336.98,0.05,RSN6938_DARFIELD_MOSSN26E.AT2,RSN6938_DARFIELD_MOSSN64W.AT2,RSN6938_DARFIELD_MOSSUP.AT2
6939,29.1,41.2,0,"""Darfield_NewZealand""",2010,"""MOTS""",7,strikeslip,277.38,277.38,299.64,0.075,RSN6939_DARFIELD_MOTSN05E.AT2,RSN6939_DARFIELD_MOTSS85E.AT2,RSN6939_DARFIELD_MOTSUP.AT2
6940,50.8,73.7,0,"""Darfield_NewZealand""",2010,"""MSZ""",7,strikeslip,326.69,327.39,649.67,0.025,RSN6940_DARFIELD_MSZE.AT2,RSN6940_DARFIELD_MSZN.AT2,RSN6940_DARFIELD_MSZUP.AT2
6941,28.4,46.3,0,"""Darfield_NewZealand""",2010,"""NNBSNorthNewBrightonSchool""",7,strikeslip,266.57,266.57,211,0.125,RSN6941_DARFIELD_NCBSN43E.AT2,RSN6941_DARFIELD_NCBSS47E.AT2,RSN6941_DARFIELD_NCBSUP.AT2
6942,11.3,29.3,0.8,"""Darfield_NewZealand""",2010,"""NNBSNorthNewBrightonSchool""",7,strikeslip,26.76,26.76,211,0.05,RSN6942_DARFIELD_NNBSS13E.AT2,RSN6942_DARFIELD_NNBSS77W.AT2,RSN6942_DARFIELD_NNBSUP.AT2
6943,50,74.8,0,"""Darfield_NewZealand""",2010,"""NNZ""",7,strikeslip,274.47,274.47,649.67,0.05,RSN6943_DARFIELD_NNZE.AT2,RSN6943_DARFIELD_NNZN.AT2,RSN6943_DARFIELD_NNZUP.AT2
6944,42,58.4,0,"""Darfield_NewZealand""",2010,"""NSBS""",7,strikeslip,251.95,252.25,399.61,0.0375,RSN6944_DARFIELD_NSBSN13E.AT2,RSN6944_DARFIELD_NSBSN77W.AT2,RSN6944_DARFIELD_NSBSUP.AT2
6945,24.6,38.7,0,"""Darfield_NewZealand""",2010,"""OAMS""",7,strikeslip,173.49,175.1,437.72,0.05,RSN6945_DARFIELD_OAMSS18W.AT2,RSN6945_DARFIELD_OAMSS72E.AT2,RSN6945_DARFIELD_OAMSUP.AT2
6946,29.4,41.6,0,"""Darfield_NewZealand""",2010,"""ODZ""",7,strikeslip,179.01,180.55,638.39,0.0375,RSN6946_DARFIELD_ODZE.AT2,RSN6946_DARFIELD_ODZN.AT2,RSN6946_DARFIELD_ODZUP.AT2
6947,27.3,50.8,0,"""Darfield_NewZealand""",2010,"""OPZ""",7,strikeslip,265.39,266.45,543.03,0.0375,RSN6947_DARFIELD_OPZE.AT2,RSN6947_DARFIELD_OPZN.AT2,RSN6947_DARFIELD_OPZUP.AT2
6948,17.8,23,0.5,"""Darfield_NewZealand""",2010,"""OXZ""",7,strikeslip,30.63,30.63,481.62,0.1,RSN6948_DARFIELD_OXZE.AT2,RSN6948_DARFIELD_OXZN.AT2,RSN6948_DARFIELD_OXZUP.AT2
6949,14.2,20.9,0.3,"""Darfield_NewZealand""",2010,"""PEEC""",7,strikeslip,52.13,53.75,551.3,0.175,RSN6949_DARFIELD_PEECN11W.AT2,RSN6949_DARFIELD_PEECS79W.AT2,RSN6949_DARFIELD_PEECUP.AT2
6950,50.9,75,0,"""Darfield_NewZealand""",2010,"""PGMS""",7,strikeslip,331.47,331.47,306.37,0.0375,RSN6950_DARFIELD_PGMSS25W.AT2,RSN6950_DARFIELD_PGMSS65E.AT2,RSN6950_DARFIELD_PGMSUP.AT2
6951,17.1,27,0,"""Darfield_NewZealand""",2010,"""POLS""",7,strikeslip,337.83,337.83,375.21,0.25,RSN6951_DARFIELD_POLSS22W.AT2,RSN6951_DARFIELD_POLSS68E.AT2,RSN6951_DARFIELD_POLSUP.AT2
6952,12.5,37,1.3,"""Darfield_NewZealand""",2010,"""PapanuiHighSchool""",7,strikeslip,18.73,18.73,263.2,0.0625,RSN6952_DARFIELD_PPHSS33W.AT2,RSN6952_DARFIELD_PPHSS57E.AT2,RSN6952_DARFIELD_PPHSUP.AT2
6953,11.2,22,1.3,"""Darfield_NewZealand""",2010,"""PagesRoadPumpingStation""",7,strikeslip,24.55,24.55,206,0.0875,RSN6953_DARFIELD_PRPCW.AT2,RSN6953_DARFIELD_PRPCS.AT2,RSN6953_DARFIELD_PRPCUP.AT2
6954,65.5,70.6,0,"""Darfield_NewZealand""",2010,"""PXZ""",7,strikeslip,540.93,540.93,579.4,0.05,RSN6954_DARFIELD_PXZE.AT2,RSN6954_DARFIELD_PXZN.AT2,RSN6954_DARFIELD_PXZUP.AT2
6955,55,73.5,0,"""Darfield_NewZealand""",2010,"""PYZ""",7,strikeslip,488.92,489.5,544.31,0.0625,RSN6955_DARFIELD_PYZE.AT2,RSN6955_DARFIELD_PYZN.AT2,RSN6955_DARFIELD_PYZUP.AT2
6956,31.3,45.3,0,"""Darfield_NewZealand""",2010,"""QCCS""",7,strikeslip,288.13,288.13,520.19,0.0625,RSN6956_DARFIELD_QCCSN52W.AT2,RSN6956_DARFIELD_QCCSS38W.AT2,RSN6956_DARFIELD_QCCSUP.AT2
6957,47.4,69.4,0,"""Darfield_NewZealand""",2010,"""QRZ""",7,strikeslip,306.33,306.33,638.39,0.175,RSN6957_DARFIELD_QRZE.AT2,RSN6957_DARFIELD_QRZN.AT2,RSN6957_DARFIELD_QRZUP.AT2
6958,22.5,37,0,"""Darfield_NewZealand""",2010,"""RDCS""",7,strikeslip,165.39,165.39,628.04,0.0625,RSN6958_DARFIELD_RDCSS.AT2,RSN6958_DARFIELD_RDCSW.AT2,RSN6958_DARFIELD_RDCSUP.AT2
6959,11.9,30.5,1.8,"""Darfield_NewZealand""",2010,"""ChristchurchResthaven""",7,strikeslip,19.48,19.48,141,0.0625,RSN6959_DARFIELD_REHSN02E.AT2,RSN6959_DARFIELD_REHSS88E.AT2,RSN6959_DARFIELD_REHSUP.AT2
6960,10.1,24.6,1.2,"""Darfield_NewZealand""",2010,"""RiccartonHighSchool""",7,strikeslip,13.64,13.64,293,0.05,RSN6960_DARFIELD_RHSCN86W.AT2,RSN6960_DARFIELD_RHSCS04W.AT2,RSN6960_DARFIELD_RHSCUP.AT2
6961,13.2,20.3,0.5,"""Darfield_NewZealand""",2010,"""RKAC""",7,strikeslip,13.37,16.47,295.74,0.15,RSN6961_DARFIELD_RKACN14E.AT2,RSN6961_DARFIELD_RKACS76E.AT2,RSN6961_DARFIELD_RKACUP.AT2
6962,7.1,11.4,1.6,"""Darfield_NewZealand""",2010,"""ROLC""",7,strikeslip,0,1.54,295.74,0.1625,RSN6962_DARFIELD_ROLCS29E.AT2,RSN6962_DARFIELD_ROLCS61W.AT2,RSN6962_DARFIELD_ROLCUP.AT2
6963,11.6,24.2,0.1,"""Darfield_NewZealand""",2010,"""RPZ""",7,strikeslip,57.37,57.65,638.39,0.0375,RSN6963_DARFIELD_RPZE.AT2,RSN6963_DARFIELD_RPZN.AT2,RSN6963_DARFIELD_RPZUP.AT2
6964,30.3,43.5,0,"""Darfield_NewZealand""",2010,"""RQGS""",7,strikeslip,320.11,320.11,336.98,0.25,RSN6964_DARFIELD_RQGSS25W.AT2,RSN6964_DARFIELD_RQGSS65E.AT2,RSN6964_DARFIELD_RQGSUP.AT2
6965,13.8,20.3,0.7,"""Darfield_NewZealand""",2010,"""SBRC""",7,strikeslip,21.31,24.34,263.2,0.0875,RSN6965_DARFIELD_SBRCS31E.AT2,RSN6965_DARFIELD_SBRCS59W.AT2,RSN6965_DARFIELD_SBRCUP.AT2
6966,11.7,26.4,1,"""Darfield_NewZealand""",2010,"""ShirleyLibrary""",7,strikeslip,22.33,22.33,207,0.05,RSN6966_DARFIELD_SHLCS40W.AT2,RSN6966_DARFIELD_SHLCS50E.AT2,RSN6966_DARFIELD_SHLCUP.AT2
6967,19.3,30.9,0,"""Darfield_NewZealand""",2010,"""SJFS""",7,strikeslip,139.42,139.42,455.93,0.0375,RSN6967_DARFIELD_SJFSN18W.AT2,RSN6967_DARFIELD_SJFSS72W.AT2,RSN6967_DARFIELD_SJFSUP.AT2
6968,33.3,56.3,0.1,"""Darfield_NewZealand""",2010,"""SKFS""",7,strikeslip,269.34,270.39,263.18,0.0375,RSN6968_DARFIELD_SKFSS02E.AT2,RSN6968_DARFIELD_SKFSS88W.AT2,RSN6968_DARFIELD_SKFSUP.AT2
6969,14.2,38.2,0.9,"""Darfield_NewZealand""",2010,"""StyxMillTransferStation""",7,strikeslip,20.86,20.86,247.5,0.05,RSN6969_DARFIELD_SMTCN88W.AT2,RSN6969_DARFIELD_SMTCS02W.AT2,RSN6969_DARFIELD_SMTCUP.AT2
6970,35.6,66.1,0,"""Darfield_NewZealand""",2010,"""SOCS""",7,strikeslip,335.11,335.11,432.58,0.0375,RSN6970_DARFIELD_SOCSN82E.AT2,RSN6970_DARFIELD_SOCSS08E.AT2,RSN6970_DARFIELD_SOCSUP.AT2
6971,16.1,22.7,1,"""Darfield_NewZealand""",2010,"""SPFS""",7,strikeslip,29.86,29.86,389.54,0.0375,RSN6971_DARFIELD_SPFSN17E.AT2,RSN6971_DARFIELD_SPFSN73W.AT2,RSN6971_DARFIELD_SPFSUP.AT2
6972,35.6,53.2,0,"""Darfield_NewZealand""",2010,"""SYZ""",7,strikeslip,381.9,382.64,649.67,0.0375,RSN6972_DARFIELD_SYZE.AT2,RSN6972_DARFIELD_SYZN.AT2,RSN6972_DARFIELD_SYZUP.AT2
6973,49.8,81.9,0,"""Darfield_NewZealand""",2010,"""TEPS""",7,strikeslip,320.5,320.5,399.61,0.05,RSN6973_DARFIELD_TEPSN12E.AT2,RSN6973_DARFIELD_TEPSS78E.AT2,RSN6973_DARFIELD_TEPSUP.AT2
6974,40.4,56.2,0,"""Darfield_NewZealand""",2010,"""TMBS""",7,strikeslip,296.77,297.72,358.58,0.175,RSN6974_DARFIELD_TMBSN09E.AT2,RSN6974_DARFIELD_TMBSN81W.AT2,RSN6974_DARFIELD_TMBSUP.AT2
6975,13.9,24.5,1.5,"""Darfield_NewZealand""",2010,"""TPLC""",7,strikeslip,6.11,6.11,249.28,0.0625,RSN6975_DARFIELD_TPLCN27W.AT2,RSN6975_DARFIELD_TPLCS63W.AT2,RSN6975_DARFIELD_TPLCUP.AT2
6976,21,61.7,0.2,"""Darfield_NewZealand""",2010,"""TRCS""",7,strikeslip,93.7,95.85,424.9,0.05,RSN6976_DARFIELD_TRCSN07E.AT2,RSN6976_DARFIELD_TRCSS83E.AT2,RSN6976_DARFIELD_TRCSUP.AT2
