
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-03-10


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Christchurch
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
22, SRSS, 8077, -, 1.0, -, 23.9, 37.1, 0.0, "Christchurch_ New Zealand", 2011, "DUNS", 6.2, Reverse Oblique, 312.58, 312.73, 649.67, 0.05, 1.0, RSN8077_CCHURCH_DUNSS26W.AT2, RSN8077_CCHURCH_DUNSS64E.AT2 , RSN8077_CCHURCH_DUNSUP.AT2  
23, SRSS, 8078, -, 1.0, -, 29.6, 51.8, 0.0, "Christchurch_ New Zealand", 2011, "EAZ", 6.2, Reverse Oblique, 326.09, 326.23, 638.39, 0.0375, 1.0, RSN8078_CCHURCH_EAZE.AT2, RSN8078_CCHURCH_EAZN.AT2 , RSN8078_CCHURCH_EAZUP.AT2  
24, SRSS, 8079, -, 1.0, -, 23.4, 44.2, 0.0, "Christchurch_ New Zealand", 2011, "FDCS", 6.2, Reverse Oblique, 160.32, 160.32, 389.54, 0.35, 1.0, RSN8079_CCHURCH_FDCSN09W.AT2, RSN8079_CCHURCH_FDCSS81W.AT2 , RSN8079_CCHURCH_FDCSUP.AT2  
25, SRSS, 8080, -, 1.0, -, 31.5, 38.2, 0.0, "Christchurch_ New Zealand", 2011, "FGPS", 6.2, Reverse Oblique, 214.77, 214.77, 476.62, 0.225, 1.0, RSN8080_CCHURCH_FGPSN02E.AT2, RSN8080_CCHURCH_FGPSN88W.AT2 , RSN8080_CCHURCH_FGPSUP.AT2  
26, SRSS, 8081, -, 1.0, -, 23.3, 30.1, 0.0, "Christchurch_ New Zealand", 2011, "FJDS", 6.2, Reverse Oblique, 202.22, 202.22, 476.62, 0.0625, 1.0, RSN8081_CCHURCH_FJDSN83E.AT2, RSN8081_CCHURCH_FJDSS07E.AT2 , RSN8081_CCHURCH_FJDSUP.AT2  
27, SRSS, 8082, -, 1.0, -, 30.1, 51.5, 0.0, "Christchurch_ New Zealand", 2011, "FOZ", 6.2, Reverse Oblique, 230.9, 230.9, 579.4, 0.0625, 1.0, RSN8082_CCHURCH_FOZE.AT2, RSN8082_CCHURCH_FOZN.AT2 , RSN8082_CCHURCH_FOZUP.AT2  
28, SRSS, 8083, -, 1.0, -, 20.3, 30.6, 0.0, "Christchurch_ New Zealand", 2011, "GLWS", 6.2, Reverse Oblique, 105.25, 105.25, 511.16, 0.05, 1.0, RSN8083_CCHURCH_GLWSN11E.AT2, RSN8083_CCHURCH_GLWSS79E.AT2 , RSN8083_CCHURCH_GLWSUP.AT2  
29, SRSS, 8084, -, 1.0, -, 16.6, 24.8, 0.0, "Christchurch_ New Zealand", 2011, "GMTS", 6.2, Reverse Oblique, 171.54, 171.54, 485.04, 0.1125, 1.0, RSN8084_CCHURCH_GMTSN18E.AT2, RSN8084_CCHURCH_GMTSN72W.AT2 , RSN8084_CCHURCH_GMTSUP.AT2  
30, SRSS, 8085, -, 1.0, -, 19.7, 32.8, 0.0, "Christchurch_ New Zealand", 2011, "GORS", 6.2, Reverse Oblique, 408.04, 408.16, 336.98, 0.075, 1.0, RSN8085_CCHURCH_GORSN02W.AT2, RSN8085_CCHURCH_GORSS88W.AT2 , RSN8085_CCHURCH_GORSUP.AT2  
31, SRSS, 8086, -, 1.0, -, 31.2, 51.5, 0.0, "Christchurch_ New Zealand", 2011, "HAFS", 6.2, Reverse Oblique, 177.54, 177.54, 476.62, 0.0375, 1.0, RSN8086_CCHURCH_HAFSN77W.AT2, RSN8086_CCHURCH_HAFSS13W.AT2 , RSN8086_CCHURCH_HAFSUP.AT2  
32, SRSS, 8087, -, 1.0, -, 28.9, 39.4, 0.0, "Christchurch_ New Zealand", 2011, "HDWS", 6.2, Reverse Oblique, 294.54, 294.54, 299.42, 0.25, 1.0, RSN8087_CCHURCH_HDWSN17W.AT2, RSN8087_CCHURCH_HDWSS73W.AT2 , RSN8087_CCHURCH_HDWSUP.AT2  
33, SRSS, 8088, -, 1.0, -, 19.9, 32.8, 0.0, "Christchurch_ New Zealand", 2011, "HMCS", 6.2, Reverse Oblique, 167.58, 167.58, 289.69, 0.0625, 1.0, RSN8088_CCHURCH_HMCSN37E.AT2, RSN8088_CCHURCH_HMCSN53W.AT2 , RSN8088_CCHURCH_HMCSUP.AT2  
34, SRSS, 8089, -, 1.0, -, 6.0, 10.6, 0.0, "Christchurch_ New Zealand", 2011, "HORC", 6.2, Reverse Oblique, 57.91, 57.91, 326.01, 0.25, 1.0, RSN8089_CCHURCH_HORCN18E.AT2, RSN8089_CCHURCH_HORCS72E.AT2 , RSN8089_CCHURCH_HORCUP.AT2  
35, SRSS, 8090, -, 1.0, -, 4.3, 10.5, 0.9, "Christchurch_ New Zealand", 2011, "Hulverstone Drive Pumping Station", 6.2, Reverse Oblique, 4.32, 4.35, 206.0, 0.0, 1.0, RSN8090_CCHURCH_HPSCN04W.AT2, RSN8090_CCHURCH_HPSCS86W.AT2 , RSN8090_CCHURCH_HPSCUP.AT2  
36, SRSS, 8091, -, 1.0, -, 14.9, 30.6, 0.0, "Christchurch_ New Zealand", 2011, "HSES", 6.2, Reverse Oblique, 111.5, 111.5, 644.76, 0.0375, 1.0, RSN8091_CCHURCH_HSESN10E.AT2, RSN8091_CCHURCH_HSESN80W.AT2 , RSN8091_CCHURCH_HSESUP.AT2  
37, SRSS, 8092, -, 1.0, -, 21.0, 33.1, 0.0, "Christchurch_ New Zealand", 2011, "IFPS", 6.2, Reverse Oblique, 134.48, 134.48, 485.04, 0.0625, 1.0, RSN8092_CCHURCH_IFPSN22W.AT2, RSN8092_CCHURCH_IFPSN68E.AT2 , RSN8092_CCHURCH_IFPSUP.AT2  
38, SRSS, 8093, -, 1.0, -, 17.8, 26.8, 0.0, "Christchurch_ New Zealand", 2011, "INGS", 6.2, Reverse Oblique, 196.63, 196.63, 561.04, 0.225, 1.0, RSN8093_CCHURCH_INGSN78W.AT2, RSN8093_CCHURCH_INGSS12W.AT2 , RSN8093_CCHURCH_INGSUP.AT2  
39, SRSS, 8094, -, 1.0, -, 30.6, 43.5, 0.0, "Christchurch_ New Zealand", 2011, "KARS", 6.2, Reverse Oblique, 258.39, 258.39, 417.77, 0.0375, 1.0, RSN8094_CCHURCH_KARSN17E.AT2, RSN8094_CCHURCH_KARSN73W.AT2 , RSN8094_CCHURCH_KARSUP.AT2  
40, SRSS, 8095, -, 1.0, -, 32.3, 54.6, 0.0, "Christchurch_ New Zealand", 2011, "KHZ", 6.2, Reverse Oblique, 143.72, 143.72, 369.09, 0.0375, 1.0, RSN8095_CCHURCH_KHZE.AT2, RSN8095_CCHURCH_KHZN.AT2 , RSN8095_CCHURCH_KHZUP.AT2  
41, SRSS, 8096, -, 1.0, -, 32.0, 50.3, 0.0, "Christchurch_ New Zealand", 2011, "KIKS", 6.2, Reverse Oblique, 143.72, 143.72, 369.09, 0.025, 1.0, RSN8096_CCHURCH_KIKSN65E.AT2, RSN8096_CCHURCH_KIKSS25E.AT2 , RSN8096_CCHURCH_KIKSUP.AT2  
42, SRSS, 8097, -, 1.0, -, 29.9, 40.7, 0.0, "Christchurch_ New Zealand", 2011, "KOKS", 6.2, Reverse Oblique, 145.25, 145.25, 511.16, 0.0375, 1.0, RSN8097_CCHURCH_KOKSN26E.AT2, RSN8097_CCHURCH_KOKSS64E.AT2 , RSN8097_CCHURCH_KOKSUP.AT2  
43, SRSS, 8098, -, 1.0, -, 5.4, 9.3, 0.1, "Christchurch_ New Zealand", 2011, "KOWC", 6.2, Reverse Oblique, 71.47, 71.47, 485.04, 0.125, 1.0, RSN8098_CCHURCH_KOWCN70E.AT2, RSN8098_CCHURCH_KOWCS20E.AT2 , RSN8098_CCHURCH_KOWCUP.AT2  
44, SRSS, 8099, -, 1.0, -, 4.6, 11.5, 0.7, "Christchurch_ New Zealand", 2011, "Kaiapoi North School ", 6.2, Reverse Oblique, 17.86, 17.87, 255.0, 0.1, 1.0, RSN8099_CCHURCH_KPOCN15E.AT2, RSN8099_CCHURCH_KPOCS75E.AT2 , RSN8099_CCHURCH_KPOCUP.AT2  
45, SRSS, 8100, -, 1.0, -, 15.7, 38.8, 0.0, "Christchurch_ New Zealand", 2011, "LBZ", 6.2, Reverse Oblique, 219.99, 219.99, 638.39, 0.0375, 1.0, RSN8100_CCHURCH_LBZE.AT2, RSN8100_CCHURCH_LBZN.AT2 , RSN8100_CCHURCH_LBZUP.AT2  
46, SRSS, 8101, -, 1.0, -, 28.1, 35.6, 0.0, "Christchurch_ New Zealand", 2011, "LHES", 6.2, Reverse Oblique, 312.22, 312.23, 389.54, 0.1, 1.0, RSN8101_CCHURCH_LHESN72W.AT2, RSN8101_CCHURCH_LHESS18W.AT2 , RSN8101_CCHURCH_LHESUP.AT2  
47, SRSS, 8102, -, 1.0, -, 6.9, 13.3, 0.2, "Christchurch_ New Zealand", 2011, "LINC", 6.2, Reverse Oblique, 18.47, 18.48, 263.2, 0.0875, 1.0, RSN8102_CCHURCH_LINCN23E.AT2, RSN8102_CCHURCH_LINCN67W.AT2 , RSN8102_CCHURCH_LINCUP.AT2  
48, SRSS, 8103, -, 1.0, -, 17.8, 24.0, 0.0, "Christchurch_ New Zealand", 2011, "LPLS", 6.2, Reverse Oblique, 262.75, 262.75, 485.04, 0.25, 1.0, RSN8103_CCHURCH_LPLSS21E.AT2, RSN8103_CCHURCH_LPLSS69W.AT2 , RSN8103_CCHURCH_LPLSUP.AT2  
49, SRSS, 8104, -, 1.0, -, 5.4, 15.3, 0.0, "Christchurch_ New Zealand", 2011, "LSRC", 6.2, Reverse Oblique, 74.72, 74.72, 561.04, 0.225, 1.0, RSN8104_CCHURCH_LSRCN15W.AT2, RSN8104_CCHURCH_LSRCS75W.AT2 , RSN8104_CCHURCH_LSRCUP.AT2  
50, SRSS, 8105, -, 1.0, -, 4.3, 11.1, 0.0, "Christchurch_ New Zealand", 2011, "LTZ", 6.2, Reverse Oblique, 91.32, 91.32, 638.39, 0.15, 1.0, RSN8105_CCHURCH_LTZE.AT2, RSN8105_CCHURCH_LTZN.AT2 , RSN8105_CCHURCH_LTZUP.AT2  
51, SRSS, 8106, -, 1.0, -, 7.0, 12.6, 0.0, "Christchurch_ New Zealand", 2011, "MAYC", 6.2, Reverse Oblique, 105.33, 105.33, 342.7, 0.2875, 1.0, RSN8106_CCHURCH_MAYCN14E.AT2, RSN8106_CCHURCH_MAYCN76W.AT2 , RSN8106_CCHURCH_MAYCUP.AT2  
52, SRSS, 8107, -, 1.0, -, 43.2, 62.7, 0.0, "Christchurch_ New Zealand", 2011, "MCAS", 6.2, Reverse Oblique, 194.91, 194.91, 356.39, 0.0375, 1.0, RSN8107_CCHURCH_MCASN01W.AT2, RSN8107_CCHURCH_MCASS89W.AT2 , RSN8107_CCHURCH_MCASUP.AT2  
53, SRSS, 8108, -, 1.0, -, 27.0, 33.0, 0.0, "Christchurch_ New Zealand", 2011, "MISS", 6.2, Reverse Oblique, 298.71, 298.71, 356.39, 0.375, 1.0, RSN8108_CCHURCH_MISSN24E.AT2, RSN8108_CCHURCH_MISSN66W.AT2 , RSN8108_CCHURCH_MISSUP.AT2  
54, SRSS, 8109, -, 1.0, -, 13.2, 19.3, 0.0, "Christchurch_ New Zealand", 2011, "MOLS", 6.2, Reverse Oblique, 164.99, 164.99, 561.04, 0.25, 1.0, RSN8109_CCHURCH_MOLSS16E.AT2, RSN8109_CCHURCH_MOLSS74W.AT2 , RSN8109_CCHURCH_MOLSUP.AT2  
55, SRSS, 8110, -, 1.0, -, 3.9, 10.0, 0.2, "Christchurch_ New Zealand", 2011, "MQZ", 6.2, Reverse Oblique, 13.91, 16.13, 649.67, 0.025, 1.0, RSN8110_CCHURCH_MQZE.AT2, RSN8110_CCHURCH_MQZN.AT2 , RSN8110_CCHURCH_MQZUP.AT2  
56, SRSS, 8111, -, 1.0, -, 52.8, 75.6, 0.0, "Christchurch_ New Zealand", 2011, "MSZ", 6.2, Reverse Oblique, 399.57, 399.57, 649.67, 0.0375, 1.0, RSN8111_CCHURCH_MSZE.AT2, RSN8111_CCHURCH_MSZN.AT2 , RSN8111_CCHURCH_MSZUP.AT2  
57, SRSS, 8112, -, 1.0, -, 61.7, 95.1, 0.0, "Christchurch_ New Zealand", 2011, "NNZ", 6.2, Reverse Oblique, 261.79, 261.79, 649.67, 0.0375, 1.0, RSN8112_CCHURCH_NNZE.AT2, RSN8112_CCHURCH_NNZN.AT2 , RSN8112_CCHURCH_NNZUP.AT2  
58, SRSS, 8113, -, 1.0, -, 25.8, 35.3, 0.0, "Christchurch_ New Zealand", 2011, "OAMS", 6.2, Reverse Oblique, 217.72, 217.93, 437.72, 0.0375, 1.0, RSN8113_CCHURCH_OAMSS18W.AT2, RSN8113_CCHURCH_OAMSS72E.AT2 , RSN8113_CCHURCH_OAMSUP.AT2  
59, SRSS, 8114, -, 1.0, -, 26.3, 36.7, 0.0, "Christchurch_ New Zealand", 2011, "ODZ", 6.2, Reverse Oblique, 230.58, 230.78, 638.39, 0.0375, 1.0, RSN8114_CCHURCH_ODZE.AT2, RSN8114_CCHURCH_ODZN.AT2 , RSN8114_CCHURCH_ODZUP.AT2  
60, SRSS, 8115, -, 1.0, -, 5.9, 10.9, 0.0, "Christchurch_ New Zealand", 2011, "OXZ", 6.2, Reverse Oblique, 57.72, 57.73, 481.62, 0.1, 1.0, RSN8115_CCHURCH_OXZE.AT2, RSN8115_CCHURCH_OXZN.AT2 , RSN8115_CCHURCH_OXZUP.AT2  
61, SRSS, 8116, -, 1.0, -, 5.7, 11.1, 0.0, "Christchurch_ New Zealand", 2011, "PEEC", 6.2, Reverse Oblique, 122.85, 122.85, 551.3, 0.15, 1.0, RSN8116_CCHURCH_PEECN11W.AT2, RSN8116_CCHURCH_PEECS79W.AT2 , RSN8116_CCHURCH_PEECUP.AT2  
62, SRSS, 8117, -, 1.0, -, 52.3, 65.6, 0.0, "Christchurch_ New Zealand", 2011, "PGMS", 6.2, Reverse Oblique, 309.91, 309.91, 306.37, 0.125, 1.0, RSN8117_CCHURCH_PGMSS25W.AT2, RSN8117_CCHURCH_PGMSS65E.AT2 , RSN8117_CCHURCH_PGMSUP.AT2  
63, SRSS, 8118, -, 1.0, -, 5.9, 13.9, 1.0, "Christchurch_ New Zealand", 2011, "Papanui High School ", 6.2, Reverse Oblique, 9.05, 9.06, 263.2, 0.05, 1.0, RSN8118_CCHURCH_PPHSS33W.AT2, RSN8118_CCHURCH_PPHSS57E.AT2 , RSN8118_CCHURCH_PPHSUP.AT2  
64, SRSS, 8119, -, 1.0, 4.823, 2.8, 4.3, 2.3, "Christchurch_ New Zealand", 2011, "Pages Road Pumping Station", 6.2, Reverse Oblique, 1.92, 1.98, 206.0, 0.1, 1.0, RSN8119_CCHURCH_PRPCS.AT2, RSN8119_CCHURCH_PRPCW.AT2 , RSN8119_CCHURCH_PRPCUP.AT2  
65, SRSS, 8120, -, 1.0, -, 45.5, 74.3, 0.0, "Christchurch_ New Zealand", 2011, "QRZ", 6.2, Reverse Oblique, 300.78, 300.78, 638.39, 0.05, 1.0, RSN8120_CCHURCH_QRZE.AT2, RSN8120_CCHURCH_QRZN.AT2 , RSN8120_CCHURCH_QRZUP.AT2  
66, SRSS, 8121, -, 1.0, -, 25.1, 32.6, 0.0, "Christchurch_ New Zealand", 2011, "QTPS", 6.2, Reverse Oblique, 359.56, 359.56, 494.96, 0.2375, 1.0, RSN8121_CCHURCH_QTPSN33W.AT2, RSN8121_CCHURCH_QTPSN57E.AT2 , RSN8121_CCHURCH_QTPSUP.AT2  
67, SRSS, 8122, -, 1.0, -, 11.5, 18.7, 0.0, "Christchurch_ New Zealand", 2011, "RDCS", 6.2, Reverse Oblique, 172.19, 172.19, 628.04, 0.275, 1.0, RSN8122_CCHURCH_RDCSW.AT2, RSN8122_CCHURCH_RDCSS.AT2 , RSN8122_CCHURCH_RDCSUP.AT2  
68, SRSS, 8123, -, 1.0, 1.554, 4.4, 11.2, 3.6, "Christchurch_ New Zealand", 2011, "Christchurch Resthaven ", 6.2, Reverse Oblique, 5.11, 5.13, 141.0, 0.1, 1.0, RSN8123_CCHURCH_REHSN02E.AT2, RSN8123_CCHURCH_REHSS88E.AT2 , RSN8123_CCHURCH_REHSUP.AT2  
69, SRSS, 8124, -, 1.0, -, 5.3, 9.5, 1.1, "Christchurch_ New Zealand", 2011, "Riccarton High School ", 6.2, Reverse Oblique, 9.43, 9.44, 293.0, 0.075, 1.0, RSN8124_CCHURCH_RHSCN86W.AT2, RSN8124_CCHURCH_RHSCS04W.AT2 , RSN8124_CCHURCH_RHSCUP.AT2  
