
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-03-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Darfield
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 6879, -, 1.0, -, 18.2, 34.1, 0.3, "Darfield_ New Zealand", 2010, "ADCS", 7.0, strike slip, 28.46, 31.41, 249.28, 0.125, 1.0, RSN6879_DARFIELD_ADCSN42W.AT2, RSN6879_DARFIELD_ADCSN48E.AT2 , RSN6879_DARFIELD_ADCSUP.AT2  
2, SRSS, 6881, -, 1.0, -, 13.8, 35.9, 0.0, "Darfield_ New Zealand", 2010, "ARKS", 7.0, strike slip, 333.21, 333.21, 535.24, 0.2875, 1.0, RSN6881_DARFIELD_ARKSN12E.AT2, RSN6881_DARFIELD_ARKSS78E.AT2 , RSN6881_DARFIELD_ARKSUP.AT2  
3, SRSS, 6882, -, 1.0, -, 28.6, 52.5, 0.0, "Darfield_ New Zealand", 2010, "ARPS", 7.0, strike slip, 124.96, 124.96, 586.28, 0.025, 1.0, RSN6882_DARFIELD_ARPSS10W.AT2, RSN6882_DARFIELD_ARPSS80E.AT2 , RSN6882_DARFIELD_ARPSUP.AT2  
4, SRSS, 6884, -, 1.0, -, 49.6, 57.2, 0.0, "Darfield_ New Zealand", 2010, "BDCS", 7.0, strike slip, 331.2, 332.05, 477.35, 0.2875, 1.0, RSN6884_DARFIELD_BDCSN59E.AT2, RSN6884_DARFIELD_BDCSS31E.AT2 , RSN6884_DARFIELD_BDCSUP.AT2  
5, SRSS, 6885, -, 1.0, -, 64.4, 76.8, 0.0, "Darfield_ New Zealand", 2010, "BFZ", 7.0, strike slip, 452.22, 452.22, 649.67, 0.1125, 1.0, RSN6885_DARFIELD_BFZE.AT2, RSN6885_DARFIELD_BFZN.AT2 , RSN6885_DARFIELD_BFZUP.AT2  
6, SRSS, 6886, -, 1.0, -, 15.1, 35.1, 0.9, "Darfield_ New Zealand", 2010, "Canterbury Aero Club", 7.0, strike slip, 14.48, 14.48, 280.26, 0.05, 1.0, RSN6886_DARFIELD_CACSN40E.AT2, RSN6886_DARFIELD_CACSN50W.AT2 , RSN6886_DARFIELD_CACSUP.AT2  
7, SRSS, 6887, -, 1.0, 12.621, 11.0, 28.5, 0.9, "Darfield_ New Zealand", 2010, "Christchurch Botanical Gardens", 7.0, strike slip, 18.05, 18.05, 187.0, 0.05, 1.0, RSN6887_DARFIELD_CBGSN89W.AT2, RSN6887_DARFIELD_CBGSS01W.AT2 , RSN6887_DARFIELD_CBGSUP.AT2  
8, SRSS, 6888, -, 1.0, -, 11.6, 27.8, 1.3, "Darfield_ New Zealand", 2010, "Christchurch Cathedral College", 7.0, strike slip, 19.89, 19.89, 198.0, 0.05, 1.0, RSN6888_DARFIELD_CCCCN26W.AT2, RSN6888_DARFIELD_CCCCN64E.AT2 , RSN6888_DARFIELD_CCCCUP.AT2  
9, SRSS, 6889, -, 1.0, -, 12.0, 26.6, 1.2, "Darfield_ New Zealand", 2010, "Christchurch Hospital", 7.0, strike slip, 18.4, 18.4, 194.0, 0.0375, 1.0, RSN6889_DARFIELD_CHHCN01W.AT2, RSN6889_DARFIELD_CHHCS89W.AT2 , RSN6889_DARFIELD_CHHCUP.AT2  
10, SRSS, 6890, -, 1.0, -, 9.0, 20.0, 1.1, "Darfield_ New Zealand", 2010, "Christchurch Cashmere High School", 7.0, strike slip, 17.64, 17.64, 204.0, 0.075, 1.0, RSN6890_DARFIELD_CMHSN10E.AT2, RSN6890_DARFIELD_CMHSS80E.AT2 , RSN6890_DARFIELD_CMHSUP.AT2  
11, SRSS, 6891, -, 1.0, -, 15.4, 28.9, 0.4, "Darfield_ New Zealand", 2010, "CSHS", 7.0, strike slip, 43.6, 43.6, 638.39, 0.0375, 1.0, RSN6891_DARFIELD_CSHSN76W.AT2, RSN6891_DARFIELD_CSHSS14W.AT2 , RSN6891_DARFIELD_CSHSUP.AT2  
12, SRSS, 6892, -, 1.0, -, 73.2, 80.6, 0.0, "Darfield_ New Zealand", 2010, "DCZ", 7.0, strike slip, 417.72, 418.4, 638.39, 0.0375, 1.0, RSN6892_DARFIELD_DCZE.AT2, RSN6892_DARFIELD_DCZN.AT2 , RSN6892_DARFIELD_DCZUP.AT2  
